Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1497132000.0 1.0 50 142 119 NA NA 86 182 163 NA NA 2180 578 546 NA NA 2263 697 606 NA NA
1497132000.0 10.0 NA 162 174 0 NA NA 216 224 0 NA NA 2613 3879 1132 NA NA 3095 3954 1181 NA
1497132000.0 1000.0 NA 180 89 0 43 NA 238 134 0 64 NA 1813 317 289 85 NA 2234 528 310 129
1497132000.0 1001.0 NA 171 34 0 NA NA 217 62 0 NA NA 2845 59 66 NA NA 2989 106 136 NA
1497132000.0 1002.0 NA 168 52 NA NA NA 221 82 NA NA NA 1627 133 NA NA NA 1813 158 NA NA
1497132000.0 1003.0 NA 171 0 NA NA NA 232 0 NA NA NA 2730 296 NA NA NA 2880 327 NA NA
1497132000.0 101.0 87 NA NA NA NA 124 NA NA NA NA 648 NA NA NA NA 692 NA NA NA NA
1497132000.0 102.0 87 NA NA NA NA 123 NA NA NA NA 567 NA NA NA NA 595 NA NA NA NA
1497132000.0 103.0 47 0 0 NA NA 78 0 0 NA NA 618 470 380 NA NA 661 556 445 NA NA
1497132000.0 105.0 51 153 45 NA NA 86 200 63 NA NA 1986 582 43 NA NA 2029 725 95 NA NA
1497132000.0 106.0 47 0 0 NA NA 78 0 0 NA NA 619 495 384 NA NA 665 573 430 NA NA
1497132000.0 107.0 51 154 174 NA NA 88 202 221 NA NA 1923 391 485 NA NA 2033 440 554 NA NA
1497132000.0 108.0 51 158 174 NA NA 87 203 221 NA NA 2160 373 443 NA NA 2187 476 518 NA NA
1497132000.0 109.0 51 155 174 NA NA 86 202 221 NA NA 1607 408 449 NA NA 1636 488 497 NA NA
1497132000.0 11.0 NA 153 178 0 49 NA 210 228 0 74 NA 1071 1402 734 41 NA 1161 1559 748 102
1497132000.0 110.0 47 155 170 NA NA 81 199 217 NA NA 934 617 639 NA NA 977 721 743 NA NA
1497132000.0 1102.0 NA 166 185 107 59 NA 217 226 152 96 NA 2089 2991 1689 140 NA 2144 3411 1847 165
1497132000.0 111.0 51 154 173 NA NA 87 201 220 NA NA 1203 352 422 NA NA 1225 428 489 NA NA
1497132000.0 112.0 51 152 177 NA NA 87 201 220 NA NA 3476 670 807 NA NA 3546 778 909 NA NA
1497132000.0 113.0 54 150 174 NA NA 90 204 221 NA NA 2275 356 425 NA NA 2346 440 474 NA NA
1497132000.0 114.0 53 153 175 NA NA 90 204 221 NA NA 2214 366 441 NA NA 2261 443 488 NA NA
1497132000.0 115.0 53 157 177 NA NA 90 204 222 NA NA 4284 669 795 NA NA 4355 739 846 NA NA
1497132000.0 116.0 54 153 172 NA NA 90 204 221 NA NA 2382 369 451 NA NA 2427 471 520 NA NA
1497132000.0 117.0 57 157 177 NA NA 90 205 223 NA NA 3027 394 482 NA NA 3113 508 531 NA NA
1497132000.0 118.0 53 159 176 NA NA 91 206 223 NA NA 5792 779 970 NA NA 5903 867 1055 NA NA
1497132000.0 119.0 52 154 174 NA NA 87 201 220 NA NA 1649 350 394 NA NA 1681 444 451 NA NA
1497132000.0 12.0 NA 158 172 0 NA NA 215 223 0 NA NA 2382 3758 1080 NA NA 2709 3843 1130 NA
1497132000.0 120.0 47 149 171 NA NA 75 199 217 NA NA 662 627 618 NA NA 690 737 694 NA NA
1497132000.0 1200.0 78 186 0 NA NA 121 230 0 NA NA 292 1036 158 NA NA 406 1176 193 NA NA
1497132000.0 1201.0 217 NA NA NA NA 276 NA NA NA NA 1176 NA NA NA NA 1318 NA NA NA NA
1497132000.0 121.0 57 158 180 NA NA 91 205 223 NA NA 3260 462 561 NA NA 3345 536 590 NA NA
1497132000.0 122.0 50 152 173 NA NA 85 200 218 NA NA 848 536 553 NA NA 905 623 613 NA NA
1497132000.0 123.1 212 NA NA NA NA 273 NA NA NA NA 1012 NA NA NA NA 1102 NA NA NA NA
1497132000.0 123.2 219 NA NA NA NA 276 NA NA NA NA 1305 NA NA NA NA 1430 NA NA NA NA
1497132000.0 123.3 201 NA NA NA NA 259 NA NA NA NA 495 NA NA NA NA 556 NA NA NA NA
1497132000.0 124.1 212 NA NA NA NA 266 NA NA NA NA 699 NA NA NA NA 767 NA NA NA NA
1497132000.0 124.2 213 NA NA NA NA 272 NA NA NA NA 591 NA NA NA NA 689 NA NA NA NA
1497132000.0 124.4 206 NA NA NA NA 266 NA NA NA NA 522 NA NA NA NA 607 NA NA NA NA
1497132000.0 124.5 208 NA NA NA NA 266 NA NA NA NA 533 NA NA NA NA 592 NA NA NA NA
1497132000.0 124.6 202 NA NA NA NA 259 NA NA NA NA 862 NA NA NA NA 980 NA NA NA NA
1497132000.0 125.0 55 154 174 NA NA 88 201 220 NA NA 1981 386 465 NA NA 2057 451 519 NA NA
1497132000.0 126.0 47 150 169 NA NA 81 200 218 NA NA 1544 650 697 NA NA 1576 756 768 NA NA
1497132000.0 127.0 47 149 169 NA NA 76 199 217 NA NA 1220 613 661 NA NA 1268 701 735 NA NA
1497132000.0 128.0 49 151 175 NA NA 75 199 217 NA NA 661 619 614 NA NA 701 724 706 NA NA
1497132000.0 129.0 47 150 172 NA NA 75 199 217 NA NA 628 642 634 NA NA 678 739 724 NA NA
1497132000.0 13.0 NA 161 180 0 NA NA 218 227 0 NA NA 2636 3942 683 NA NA 2793 4415 733 NA
1497132000.0 130.0 47 151 171 NA NA 76 199 217 NA NA 747 605 623 NA NA 782 683 693 NA NA
1497132000.0 1306.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497132000.0 1307.0 52 0 0 0 0 82 0 0 0 0 428 241 145 48 254 478 321 233 62 317
1497132000.0 1308.0 NA 144 113 36 0 NA 198 154 62 0 NA 607 456 105 479 NA 1116 587 130 524
1497132000.0 1309.0 NA 163 185 0 NA NA 219 233 0 NA NA 492 596 615 NA NA 610 689 636 NA
1497132000.0 131.0 48 154 173 NA NA 82 200 218 NA NA 847 338 357 NA NA 891 400 411 NA NA
1497132000.0 1311.0 NA 155 190 0 49 NA 213 235 0 74 NA 347 448 665 37 NA 432 536 721 81
1497132000.0 1312.0 NA 158 183 0 NA NA 216 230 0 NA NA 436 532 608 NA NA 564 622 647 NA
1497132000.0 1313.0 NA 166 193 0 NA NA 219 233 0 NA NA 835 1276 982 NA NA 1142 1400 1026 NA
1497132000.0 1314.0 NA 158 182 0 NA NA 215 228 0 NA NA 374 432 593 NA NA 494 522 610 NA
1497132000.0 1315.0 NA 156 182 0 NA NA 212 225 0 NA NA 331 352 539 NA NA 433 421 569 NA
1497132000.0 1316.0 NA 155 180 0 NA NA 213 226 0 NA NA 384 415 588 NA NA 470 469 632 NA
1497132000.0 1317.0 NA 156 180 0 NA NA 212 225 0 NA NA 335 361 541 NA NA 426 422 558 NA
1497132000.0 1318.0 NA 153 177 0 NA NA 212 225 0 NA NA 735 785 1049 NA NA 866 985 1088 NA
1497132000.0 1319.0 NA 154 180 0 NA NA 212 225 0 NA NA 727 750 995 NA NA 890 897 1036 NA
1497132000.0 132.0 52 156 175 NA NA 88 206 224 NA NA 2251 380 459 NA NA 2277 462 518 NA NA
1497132000.0 1320.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497132000.0 1321.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497132000.0 1322.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497132000.0 1324.0 NA 157 182 0 NA NA 216 229 0 NA NA 418 494 608 NA NA 538 598 639 NA
1497132000.0 1325.0 NA 159 182 0 53 NA 218 231 0 80 NA 431 534 600 95 NA 549 609 677 163
1497132000.0 1326.0 NA 157 180 0 NA NA 216 228 0 NA NA 369 422 599 NA NA 484 510 635 NA
1497132000.0 1327.0 NA 157 181 0 NA NA 216 229 0 NA NA 382 426 610 NA NA 474 523 642 NA
1497132000.0 1328.0 NA 156 180 0 NA NA 215 229 0 NA NA 415 464 605 NA NA 508 538 624 NA
1497132000.0 1329.0 NA 159 183 0 57 NA 218 229 0 78 NA 378 447 601 44 NA 471 536 629 70
1497132000.0 133.0 56 155 180 NA NA 91 206 225 NA NA 7637 837 1173 NA NA 7729 949 1304 NA NA
1497132000.0 1330.0 NA 157 181 0 NA NA 215 228 0 NA NA 407 477 610 NA NA 538 559 641 NA
1497132000.0 1331.0 NA 155 181 0 NA NA 215 227 0 NA NA 734 858 1105 NA NA 933 962 1147 NA
1497132000.0 1333.0 NA 156 181 0 NA NA 215 227 0 NA NA 375 416 595 NA NA 468 511 634 NA
1497132000.0 1335.0 NA 159 182 0 NA NA 215 228 0 NA NA 389 445 609 NA NA 501 518 639 NA
1497132000.0 1336.0 NA 161 184 0 NA NA 217 230 0 NA NA 505 597 612 NA NA 617 706 638 NA
1497132000.0 1338.0 NA 158 182 0 NA NA 217 231 0 NA NA 429 510 610 NA NA 550 588 634 NA
1497132000.0 1339.0 NA 166 193 0 NA NA 219 232 0 NA NA 848 1172 975 NA NA 1188 1290 999 NA
1497132000.0 134.0 NA 172 27 0 NA NA 223 58 0 NA NA 1884 30 30 NA NA 1973 80 70 NA
1497132000.0 1341.0 NA 162 188 0 NA NA 217 233 0 NA NA 504 647 604 NA NA 608 742 638 NA
1497132000.0 1343.0 63 159 181 0 NA 98 208 230 0 NA 2570 408 544 603 NA 2881 513 668 646 NA
