Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1497736800.0 1.0 51 141 119 NA NA 86 182 163 NA NA 1068 305 283 NA NA 1097 383 313 NA NA
1497736800.0 10.0 NA 157 175 0 NA NA 216 224 0 NA NA 1555 2170 631 NA NA 1798 2287 669 NA
1497736800.0 1000.0 NA 175 89 0 38 NA 240 136 0 64 NA 1781 301 304 83 NA 1936 379 364 118
1497736800.0 1001.0 NA 168 35 0 NA NA 217 62 0 NA NA 1547 32 31 NA NA 1642 69 71 NA
1497736800.0 1002.0 NA 169 52 NA NA NA 221 82 NA NA NA 1612 133 NA NA NA 1717 161 NA NA
1497736800.0 1003.0 NA 169 0 NA NA NA 232 0 NA NA NA 2699 291 NA NA NA 2903 342 NA NA
1497736800.0 101.0 87 NA NA NA NA 124 NA NA NA NA 623 NA NA NA NA 686 NA NA NA NA
1497736800.0 102.0 88 NA NA NA NA 123 NA NA NA NA 540 NA NA NA NA 574 NA NA NA NA
1497736800.0 103.0 46 0 0 NA NA 78 0 0 NA NA 410 255 197 NA NA 437 353 233 NA NA
1497736800.0 105.0 50 150 39 NA NA 86 200 63 NA NA 1078 355 22 NA NA 1126 423 56 NA NA
1497736800.0 106.0 46 0 0 NA NA 78 0 0 NA NA 410 250 197 NA NA 443 338 244 NA NA
1497736800.0 107.0 51 152 175 NA NA 88 202 221 NA NA 1759 364 445 NA NA 1824 437 513 NA NA
1497736800.0 108.0 51 154 172 NA NA 87 202 221 NA NA 2158 369 437 NA NA 2206 444 484 NA NA
1497736800.0 109.0 51 152 172 NA NA 86 202 221 NA NA 1591 372 438 NA NA 1618 416 500 NA NA
1497736800.0 11.0 NA 151 179 0 54 NA 210 228 0 74 NA 995 1302 683 36 NA 1045 1436 750 96
1497736800.0 110.0 47 152 170 NA NA 81 199 217 NA NA 539 331 359 NA NA 574 433 407 NA NA
1497736800.0 1102.0 NA 159 180 118 66 NA 215 226 152 96 NA 2188 3037 1627 138 NA 2280 3110 1700 156
1497736800.0 111.0 51 152 172 NA NA 87 201 220 NA NA 1119 320 355 NA NA 1144 383 398 NA NA
1497736800.0 112.0 53 152 181 NA NA 87 201 220 NA NA 1740 356 431 NA NA 1834 464 587 NA NA
1497736800.0 113.0 53 152 171 NA NA 90 204 221 NA NA 2227 364 430 NA NA 2310 420 480 NA NA
1497736800.0 114.0 54 152 175 NA NA 90 204 221 NA NA 2169 357 443 NA NA 2207 471 491 NA NA
1497736800.0 115.0 53 154 174 NA NA 90 204 222 NA NA 2400 383 460 NA NA 2439 463 504 NA NA
1497736800.0 116.0 53 163 174 NA NA 90 204 221 NA NA 2387 384 434 NA NA 2427 467 486 NA NA
1497736800.0 117.0 57 157 178 NA NA 90 205 223 NA NA 2997 405 501 NA NA 3081 486 598 NA NA
1497736800.0 118.0 54 157 179 NA NA 91 206 223 NA NA 2957 429 512 NA NA 3029 507 570 NA NA
1497736800.0 119.0 52 155 172 NA NA 87 201 220 NA NA 1613 356 400 NA NA 1657 445 462 NA NA
1497736800.0 12.0 NA 160 184 0 NA NA 215 223 0 NA NA 1485 2284 641 NA NA 2107 2460 676 NA
1497736800.0 120.0 46 150 168 NA NA 75 199 217 NA NA 420 321 358 NA NA 466 381 423 NA NA
1497736800.0 1200.0 78 189 0 NA NA 121 230 0 NA NA 160 517 72 NA NA 221 567 86 NA NA
1497736800.0 1201.0 216 NA NA NA NA 276 NA NA NA NA 666 NA NA NA NA 755 NA NA NA NA
1497736800.0 121.0 57 156 176 NA NA 91 205 223 NA NA 2968 417 527 NA NA 3056 491 605 NA NA
1497736800.0 122.0 51 154 171 NA NA 85 200 218 NA NA 528 292 286 NA NA 550 364 326 NA NA
1497736800.0 123.1 211 NA NA NA NA 273 NA NA NA NA 585 NA NA NA NA 656 NA NA NA NA
1497736800.0 123.2 216 NA NA NA NA 276 NA NA NA NA 745 NA NA NA NA 811 NA NA NA NA
1497736800.0 123.3 198 NA NA NA NA 258 NA NA NA NA 468 NA NA NA NA 545 NA NA NA NA
1497736800.0 124.1 207 NA NA NA NA 266 NA NA NA NA 455 NA NA NA NA 535 NA NA NA NA
1497736800.0 124.2 212 NA NA NA NA 272 NA NA NA NA 536 NA NA NA NA 615 NA NA NA NA
1497736800.0 124.4 208 NA NA NA NA 266 NA NA NA NA 469 NA NA NA NA 538 NA NA NA NA
1497736800.0 124.5 208 NA NA NA NA 266 NA NA NA NA 469 NA NA NA NA 515 NA NA NA NA
1497736800.0 124.6 200 NA NA NA NA 259 NA NA NA NA 467 NA NA NA NA 529 NA NA NA NA
1497736800.0 125.0 52 153 174 NA NA 88 201 220 NA NA 2199 349 394 NA NA 2226 406 440 NA NA
1497736800.0 126.0 47 150 169 NA NA 81 200 218 NA NA 727 346 368 NA NA 747 424 414 NA NA
1497736800.0 127.0 46 153 170 NA NA 76 199 217 NA NA 591 324 363 NA NA 614 390 413 NA NA
1497736800.0 128.0 48 149 169 NA NA 75 199 217 NA NA 388 334 350 NA NA 402 427 387 NA NA
1497736800.0 129.0 48 153 171 NA NA 75 199 217 NA NA 405 329 339 NA NA 434 409 387 NA NA
1497736800.0 13.0 NA 166 178 0 NA NA 218 227 0 NA NA 2507 3659 652 NA NA 3195 3943 683 NA
1497736800.0 130.0 47 151 171 NA NA 76 199 217 NA NA 458 334 368 NA NA 500 396 435 NA NA
1497736800.0 1301.0 58 144 123 NA NA 94 189 173 NA NA 741 294 275 NA NA 931 374 367 NA NA
1497736800.0 1302.0 63 149 129 NA NA 99 189 178 NA NA 3681 379 425 NA NA 3764 470 490 NA NA
1497736800.0 1303.0 66 148 133 NA NA 101 193 177 NA NA 9514 511 613 NA NA 9596 605 696 NA NA
1497736800.0 1306.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 1307.0 52 0 0 0 0 82 0 0 0 0 427 242 156 49 277 466 311 223 75 335
1497736800.0 1308.0 NA 147 112 36 0 NA 198 154 62 0 NA 294 245 53 283 NA 388 353 80 323
1497736800.0 1309.0 NA 161 186 0 NA NA 219 233 0 NA NA 500 585 614 NA NA 603 659 641 NA
1497736800.0 131.0 49 153 174 NA NA 82 200 218 NA NA 838 342 371 NA NA 889 412 426 NA NA
1497736800.0 1311.0 NA 151 186 0 48 NA 213 235 0 74 NA 359 435 676 35 NA 461 509 704 86
1497736800.0 1312.0 NA 161 187 0 NA NA 216 230 0 NA NA 439 469 566 NA NA 535 555 581 NA
1497736800.0 1313.0 NA 163 187 0 NA NA 219 233 0 NA NA 499 750 622 NA NA 612 822 658 NA
1497736800.0 1314.0 NA 156 182 0 NA NA 215 228 0 NA NA 386 426 609 NA NA 484 507 634 NA
1497736800.0 1315.0 NA 155 180 0 NA NA 212 225 0 NA NA 327 358 568 NA NA 415 423 589 NA
1497736800.0 1316.0 NA 157 179 0 NA NA 213 226 0 NA NA 370 424 581 NA NA 486 509 617 NA
1497736800.0 1317.0 NA 157 181 0 NA NA 212 225 0 NA NA 344 377 550 NA NA 432 469 593 NA
1497736800.0 1318.0 NA 157 178 0 NA NA 212 225 0 NA NA 332 365 588 NA NA 413 445 608 NA
1497736800.0 1319.0 NA 162 179 0 NA NA 212 225 0 NA NA 334 361 591 NA NA 423 475 610 NA
1497736800.0 132.0 53 156 175 NA NA 88 206 224 NA NA 2280 374 460 NA NA 2326 480 510 NA NA
1497736800.0 1320.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 1321.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 1322.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 1324.0 NA 158 181 0 NA NA 216 229 0 NA NA 422 487 606 NA NA 531 556 652 NA
1497736800.0 1325.0 NA 160 188 0 51 NA 218 231 0 80 NA 428 551 592 100 NA 550 658 646 150
1497736800.0 1326.0 NA 156 179 0 NA NA 216 228 0 NA NA 370 417 601 NA NA 728 510 644 NA
1497736800.0 1327.0 NA 158 179 0 NA NA 216 229 0 NA NA 387 427 588 NA NA 489 501 615 NA
1497736800.0 1328.0 NA 158 181 0 NA NA 215 229 0 NA NA 399 456 603 NA NA 491 528 655 NA
1497736800.0 1329.0 NA 159 180 0 52 NA 218 229 0 78 NA 381 432 626 43 NA 463 493 660 74
1497736800.0 133.0 56 159 178 NA NA 91 206 225 NA NA 3748 433 594 NA NA 3814 515 658 NA NA
1497736800.0 1330.0 NA 156 182 0 NA NA 215 228 0 NA NA 398 482 605 NA NA 497 556 625 NA
1497736800.0 1331.0 NA 156 181 0 NA NA 215 227 0 NA NA 374 407 596 NA NA 443 463 628 NA
1497736800.0 1332.0 60 158 180 0 NA 97 205 229 0 NA 2215 363 432 585 NA 2282 449 511 611 NA
1497736800.0 1333.0 NA 156 178 0 NA NA 215 227 0 NA NA 376 411 598 NA NA 454 489 657 NA
1497736800.0 1334.0 59 157 180 0 NA 96 205 229 0 NA 2536 364 439 594 NA 2682 440 509 643 NA
1497736800.0 1335.0 NA 155 179 0 NA NA 215 228 0 NA NA 385 436 610 NA NA 554 508 648 NA
1497736800.0 1336.0 NA 159 181 0 NA NA 217 230 0 NA NA 502 596 624 NA NA 594 674 682 NA
1497736800.0 1338.0 NA 160 180 0 NA NA 217 231 0 NA NA 413 501 595 NA NA 528 558 624 NA
1497736800.0 1339.0 NA 162 184 0 NA NA 219 232 0 NA NA 511 640 611 NA NA 613 717 640 NA
1497736800.0 134.0 NA 171 35 0 NA NA 223 58 0 NA NA 1877 30 29 NA NA 1993 55 66 NA
1497736800.0 1340.0 54 0 0 0 NA 86 0 0 0 NA 480 246 207 538 NA 524 343 275 561 NA
1497736800.0 1341.0 NA 160 184 0 NA NA 218 233 0 NA NA 511 623 600 NA NA 617 699 646 NA
1497736800.0 1343.0 62 156 180 0 NA 98 208 230 0 NA 2549 400 520 601 NA 2603 486 611 659 NA
1497736800.0 1344.0 64 155 184 0 NA 101 206 228 0 NA 5819 402 466 594 NA 5925 542 631 613 NA
1497736800.0 1345.0 63 160 181 0 NA 99 207 230 0 NA 3212 381 478 600 NA 3265 482 561 634 NA
1497736800.0 1348.0 59 158 181 0 NA 95 204 228 0 NA 1242 357 416 598 NA 1317 463 495 637 NA
1497736800.0 135.1 0 NA NA NA NA 0 NA NA NA NA 265 NA NA NA NA 341 NA NA NA NA
1497736800.0 135.2 0 NA NA NA NA 0 NA NA NA NA 243 NA NA NA NA 354 NA NA NA NA
1497736800.0 135.3 0 NA NA NA NA 0 NA NA NA NA 268 NA NA NA NA 338 NA NA NA NA
1497736800.0 135.4 0 NA NA NA NA 0 NA NA NA NA 255 NA NA NA NA 410 NA NA NA NA
1497736800.0 135.5 0 NA NA NA NA 0 NA NA NA NA 280 NA NA NA NA 455 NA NA NA NA
1497736800.0 135.6 0 NA NA NA NA 0 NA NA NA NA 282 NA NA NA NA 498 NA NA NA NA
1497736800.0 135.7 0 NA NA NA NA 0 NA NA NA NA 269 NA NA NA NA 349 NA NA NA NA
1497736800.0 135.8 132 NA NA NA NA 173 NA NA NA NA 272 NA NA NA NA 330 NA NA NA NA
1497736800.0 1351.0 56 0 0 0 NA 87 0 0 0 NA 454 246 216 554 NA 509 327 267 589 NA
1497736800.0 1352.0 60 163 184 0 NA 96 206 230 0 NA 2315 373 428 583 NA 2594 438 480 624 NA
1497736800.0 1353.0 67 160 183 0 NA 109 206 229 0 NA 7717 386 503 594 NA 8029 466 586 663 NA
1497736800.0 1354.0 64 159 188 0 NA 102 207 229 0 NA 4221 381 464 607 NA 4324 552 581 655 NA
1497736800.0 1355.0 63 159 182 0 NA 99 209 232 0 NA 3966 428 543 594 NA 4034 533 612 633 NA
1497736800.0 14.0 NA 154 176 0 NA NA 214 221 0 NA NA 1389 1898 642 NA NA 1570 1998 692 NA
1497736800.0 140.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 140.51 NA 53 160 0 NA NA 89 201 0 NA NA 2737 1994 451 NA NA 3042 2127 509 NA
1497736800.0 140.52 NA 161 150 0 NA NA 210 190 0 NA NA 2323 1039 452 NA NA 2910 1298 503 NA
1497736800.0 140.53 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 141.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 143.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 144.6 NA 163 NA NA NA NA 210 NA NA NA NA 1277 NA NA NA NA 1373 NA NA NA
1497736800.0 15.0 NA 151 171 0 NA NA 209 217 0 NA NA 980 1210 573 NA NA 1046 1285 612 NA
1497736800.0 16.0 NA 154 172 0 NA NA 214 220 0 NA NA 1252 1499 591 NA NA 2130 2052 635 NA
1497736800.0 17.0 NA 154 173 0 NA NA 210 218 0 NA NA 1045 1316 592 NA NA 1117 1394 652 NA
1497736800.0 18.0 NA 152 169 0 NA NA 209 217 0 NA NA 970 1179 594 NA NA 1047 1255 658 NA
1497736800.0 19.0 NA 151 170 0 NA NA 209 217 0 NA NA 988 1213 591 NA NA 1035 1289 622 NA
1497736800.0 2.0 55 146 122 NA NA 91 185 169 NA NA 3017 364 385 NA NA 3062 411 420 NA NA
1497736800.0 20.0 NA 152 169 0 NA NA 212 218 0 NA NA 1043 1346 614 NA NA 1150 1387 633 NA
1497736800.0 200.0 NA 170 196 0 NA NA 230 252 0 NA NA 721 1053 616 NA NA 840 1153 641 NA
1497736800.0 201.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 202.0 NA 168 195 0 NA NA 232 252 0 NA NA 763 1138 619 NA NA 1542 1416 640 NA
1497736800.0 203.0 NA 173 193 0 NA NA 230 248 0 NA NA 666 933 616 NA NA 740 1034 640 NA
1497736800.0 204.0 53 172 191 0 NA 90 224 246 0 NA 2583 640 978 619 NA 2613 764 1090 719 NA
1497736800.0 205.0 NA 167 189 0 NA NA 227 247 0 NA NA 626 897 607 NA NA 705 980 629 NA
1497736800.0 21.0 NA 158 171 0 NA NA 213 218 0 NA NA 1141 1512 597 NA NA 1194 1584 618 NA
1497736800.0 22.0 NA 152 173 0 NA NA 210 219 0 NA NA 1238 1848 606 NA NA 1303 2306 648 NA
1497736800.0 23.0 NA 156 177 0 NA NA 214 221 0 NA NA 1327 1828 620 NA NA 1444 2060 670 NA
1497736800.0 24.0 NA 158 176 0 NA NA 215 224 0 NA NA 1865 2511 645 NA NA 1973 2591 672 NA
1497736800.0 25.0 NA 159 176 0 67 NA 215 226 0 89 NA 2001 2805 660 178 NA 2161 2855 709 368
1497736800.0 25200.0 NA 174 199 0 83 NA 231 265 0 119 NA 752 1049 608 116 NA 1428 1338 654 192
1497736800.0 25202.0 NA 171 203 0 75 NA 236 265 0 115 NA 852 1277 618 129 NA 1498 1710 643 169
1497736800.0 25203.0 60 167 200 0 82 97 229 260 0 116 2214 711 972 626 118 2302 1702 2004 671 152
1497736800.0 25204.0 60 169 198 0 78 96 230 266 0 116 2495 749 1100 619 117 2595 1100 1408 659 167
1497736800.0 25205.0 NA 168 197 0 76 NA 233 266 0 115 NA 783 1172 622 118 NA 1563 1691 699 242
1497736800.0 25400.0 0 NA NA NA NA 0 NA NA NA NA 260 NA NA NA NA 389 NA NA NA NA
1497736800.0 25401.0 0 NA NA NA NA 0 NA NA NA NA 251 NA NA NA NA 569 NA NA NA NA
1497736800.0 26.0 NA 154 175 0 NA NA 214 222 0 NA NA 1361 1674 610 NA NA 1492 2162 641 NA
1497736800.0 27.0 NA 154 175 0 NA NA 213 222 0 NA NA 1334 1616 610 NA NA 1461 2097 638 NA
1497736800.0 28.0 NA 158 176 0 NA NA 215 223 0 NA NA 1578 2163 629 NA NA 1781 2350 678 NA
1497736800.0 280.0 76 154 175 0 NA 160 204 223 0 NA 2857 367 446 598 NA 2906 456 493 658 NA
1497736800.0 29.0 NA 163 182 0 58 NA 216 222 0 79 NA 1341 1790 614 65 NA 1970 1940 632 155
1497736800.0 3.0 56 149 128 NA NA 95 187 170 NA NA 11407 591 624 NA NA 11668 1647 883 NA NA
1497736800.0 30.0 NA 154 175 0 NA NA 216 222 0 NA NA 1488 1877 654 NA NA 1549 2217 714 NA
1497736800.0 300.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 301.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 302.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1497736800.0 31.0 NA 158 174 0 NA NA 214 221 0 NA NA 1297 1539 617 NA NA 1475 1664 653 NA
1497736800.0 32.0 NA 158 177 0 NA NA 216 223 0 NA NA 1456 1780 616 NA NA 1597 1835 657 NA
1497736800.0 33.0 NA 153 173 0 NA NA 213 221 0 NA NA 1239 1585 619 NA NA 1322 1650 650 NA
1497736800.0 34.0 53 157 177 0 NA 90 204 221 0 NA 2615 395 458 670 NA 2654 460 678 746 NA
