Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498424400.0 108.0 53 155 174 NA NA 87 203 221 NA NA 2284 411 514 NA NA 2349 541 571 NA NA
1498424400.0 113.0 54 159 174 NA NA 90 204 221 NA NA 2389 398 475 NA NA 2461 486 521 NA NA
1498424400.0 117.0 57 161 181 NA NA 90 205 223 NA NA 3106 431 506 NA NA 3179 542 591 NA NA
1498424400.0 12.0 NA 164 185 0 NA NA 215 223 0 NA NA 1479 2375 695 NA NA 1856 2589 739 NA
1498424400.0 121.0 55 164 180 NA NA 91 205 223 NA NA 3132 438 542 NA NA 3212 543 645 NA NA
1498424400.0 132.0 54 155 177 NA NA 88 206 224 NA NA 2378 428 507 NA NA 2429 517 627 NA NA
1498424400.0 1345.0 62 167 184 0 NA 99 207 230 0 NA 3187 390 478 606 NA 3484 520 555 658 NA
1498424400.0 202.0 NA 167 195 0 NA NA 231 252 0 NA NA 838 1215 673 NA NA 1001 1339 739 NA
1498424400.0 21.0 NA 155 170 0 NA NA 213 218 0 NA NA 1217 1659 663 NA NA 1545 1861 687 NA
1498424400.0 22.0 NA 161 173 0 NA NA 210 219 0 NA NA 1253 1917 610 NA NA 1625 2065 636 NA
1498424400.0 23.0 NA 161 177 0 NA NA 214 221 0 NA NA 1320 1899 640 NA NA 1739 2070 684 NA
1498424400.0 26.0 NA 162 177 0 NA NA 214 222 0 NA NA 1376 1741 626 NA NA 1753 1932 652 NA
1498424400.0 28.0 NA 160 178 0 NA NA 214 223 0 NA NA 1586 2165 639 NA NA 1999 2325 690 NA
1498424400.0 4.29 NA 108 175 0 94 NA 149 222 0 137 NA 410 2238 401 657 NA 892 2453 432 752
1498424400.0 4.35 NA 164 0 NA NA NA 213 0 NA NA NA 3069 336 NA NA NA 3447 386 NA NA
1498424400.0 4.4 NA 110 185 0 NA NA 153 239 0 NA NA 480 3270 422 NA NA 926 3488 530 NA
1498424400.0 4.41 NA 108 183 0 NA NA 153 238 0 NA NA 919 4506 436 NA NA 1299 4898 520 NA
1498424400.0 4.75 NA 112 186 0 69 NA 154 238 0 108 NA 1265 5458 396 369 NA 1724 5711 434 447
1498424400.0 4002.0 NA 157 175 NA NA NA 216 222 NA NA NA 1421 1918 NA NA NA 1776 2103 NA NA
1498424400.0 4003.0 NA 157 177 NA NA NA 214 222 NA NA NA 1568 2053 NA NA NA 1917 2330 NA NA
1498424400.0 50200.0 NA 175 204 0 76 NA 233 264 0 115 NA 785 1284 629 138 NA 2108 2513 686 218
1498424400.0 50202.0 NA 176 204 0 84 NA 235 265 0 115 NA 834 1496 634 133 NA 2170 2646 655 155
