Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497085200.0 1.0 50 64 120 NA NA NA NA NA 94 99 162 NA NA NA NA NA 3315 481 506 NA NA NA NA NA 3713 543 587 NA NA NA NA NA
1497085200.0 10.0 NA 80 209 0 NA NA NA NA NA 154 241 0 NA NA NA NA NA 3345 4007 1016 NA NA NA NA NA 3607 4380 1114 NA NA NA NA
1497085200.0 1000.0 NA 218 124 0 54 NA NA NA NA 303 206 0 79 NA NA NA NA 4145 992 1444 226 NA NA NA NA 4582 1189 1520 299 NA NA NA
1497085200.0 10001.0 NA 138 269 69 0 NA NA NA NA 211 318 105 0 NA NA NA NA 655 1209 158 2143 NA NA NA NA 813 1418 343 2199 NA NA NA
1497085200.0 10002.0 NA 138 267 69 0 NA NA NA NA 211 318 105 0 NA NA NA NA 690 1150 159 2062 NA NA NA NA 938 1532 327 2230 NA NA NA
1497085200.0 10003.0 NA 137 273 69 0 NA NA NA NA 212 319 105 0 NA NA NA NA 679 1304 163 2077 NA NA NA NA 800 1666 315 2261 NA NA NA
1497085200.0 10004.0 NA 136 273 69 0 NA NA NA NA 210 318 105 0 NA NA NA NA 630 1133 162 2096 NA NA NA NA 842 1396 353 2192 NA NA NA
1497085200.0 10005.0 NA 135 269 71 0 NA NA NA NA 210 318 105 0 NA NA NA NA 661 1223 159 2088 NA NA NA NA 1014 1528 312 2235 NA NA NA
1497085200.0 10006.0 NA 136 266 69 0 NA NA NA NA 210 317 105 0 NA NA NA NA 626 1177 165 2069 NA NA NA NA 772 1381 350 2187 NA NA NA
1497085200.0 10007.0 NA 136 272 70 0 NA NA NA NA 211 319 105 0 NA NA NA NA 693 1272 162 2090 NA NA NA NA 830 1554 325 2189 NA NA NA
1497085200.0 10008.0 NA 137 268 70 0 NA NA NA NA 211 319 105 0 NA NA NA NA 715 1400 163 2070 NA NA NA NA 909 1665 324 2174 NA NA NA
1497085200.0 10009.0 NA 136 272 70 0 NA NA NA NA 211 319 105 0 NA NA NA NA 732 1282 167 2097 NA NA NA NA 954 1566 513 2397 NA NA NA
1497085200.0 1001.0 NA 206 150 0 0 0 0 0 NA 283 181 0 0 0 0 0 NA 3521 486 10 95 746 58 700 NA 3713 571 23 111 765 66 710
1497085200.0 1002.0 NA 214 61 NA NA NA NA NA NA 295 93 NA NA NA NA NA NA 3968 262 NA NA NA NA NA NA 4203 286 NA NA NA NA NA
1497085200.0 10023.0 NA 136 273 75 0 NA NA NA NA 211 320 105 0 NA NA NA NA 653 1261 165 2141 NA NA NA NA 822 1572 421 2313 NA NA NA
1497085200.0 10024.0 NA 157 287 72 0 NA NA NA NA 220 327 105 0 NA NA NA NA 919 1915 177 2248 NA NA NA NA 1173 2351 450 2406 NA NA NA
1497085200.0 10024.1 NA 144 182 0 NA NA NA NA NA 220 215 0 NA NA NA NA NA 956 966 1008 NA NA NA NA NA 1231 1321 1074 NA NA NA NA
1497085200.0 10024.2 NA 156 285 0 NA NA NA NA NA 220 325 0 NA NA NA NA NA 912 1835 2174 NA NA NA NA NA 1167 2245 2308 NA NA NA NA
1497085200.0 10024.3 NA 143 169 0 NA NA NA NA NA 220 203 0 NA NA NA NA NA 984 916 857 NA NA NA NA NA 1493 1336 931 NA NA NA NA
1497085200.0 10024.4 NA 143 275 0 NA NA NA NA NA 220 326 0 NA NA NA NA NA 952 1993 2255 NA NA NA NA NA 1136 2391 2410 NA NA NA NA
1497085200.0 10024.5 NA 144 180 0 NA NA NA NA NA 220 215 0 NA NA NA NA NA 1000 926 1009 NA NA NA NA NA 1230 1250 1086 NA NA NA NA
1497085200.0 10024.6 NA 142 271 0 NA NA NA NA NA 220 323 0 NA NA NA NA NA 931 2041 2062 NA NA NA NA NA 1064 2379 2167 NA NA NA NA
1497085200.0 10025.0 NA 141 272 72 0 NA NA NA NA 219 324 105 0 NA NA NA NA 819 1623 165 2212 NA NA NA NA 1029 1909 339 2368 NA NA NA
1497085200.0 10026.0 NA 143 280 70 0 NA NA NA NA 218 327 105 0 NA NA NA NA 1035 2031 141 1973 NA NA NA NA 1211 2131 176 1994 NA NA NA
1497085200.0 1003.0 NA 197 0 NA NA NA NA NA NA 266 0 NA NA NA NA NA NA 5345 883 NA NA NA NA NA NA 5963 978 NA NA NA NA NA
1497085200.0 1004.0 NA 172 133 0 0 0 0 NA NA 251 164 0 0 0 0 NA NA 801 611 10 97 982 1004 NA NA 887 653 26 110 1012 1018 NA
1497085200.0 10042.0 NA 141 272 72 0 NA NA NA NA 218 324 105 0 NA NA NA NA 863 1522 159 2161 NA NA NA NA 1023 1823 281 2221 NA NA NA
1497085200.0 10059.0 NA 158 284 69 0 NA NA NA NA 220 329 105 0 NA NA NA NA 1050 3759 171 2256 NA NA NA NA 1206 4212 303 2482 NA NA NA
1497085200.0 10071.0 NA 158 288 77 0 NA NA NA NA 219 327 105 0 NA NA NA NA 902 2208 169 2271 NA NA NA NA 1156 2613 377 2402 NA NA NA
1497085200.0 101.0 86 NA NA NA NA NA NA NA 131 NA NA NA NA NA NA NA 1898 NA NA NA NA NA NA NA 2035 NA NA NA NA NA NA NA
1497085200.0 1010.0 NA 39 44 0 NA NA NA NA NA 111 66 0 NA NA NA NA NA 97 70 181 NA NA NA NA NA 122 126 198 NA NA NA NA
1497085200.0 102.0 89 NA NA NA NA NA NA NA 132 NA NA NA NA NA NA NA 1375 NA NA NA NA NA NA NA 1438 NA NA NA NA NA NA NA
1497085200.0 1020.0 NA 38 NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA 99 NA NA NA NA NA NA NA 118 NA NA NA NA NA NA
1497085200.0 10224.0 NA 192 350 0 NA NA NA NA NA 272 441 0 NA NA NA NA NA 5420 7737 2384 NA NA NA NA NA 10570 8889 2586 NA NA NA NA
1497085200.0 10225.0 NA 194 345 0 NA NA NA NA NA 268 434 0 NA NA NA NA NA 4973 6746 2331 NA NA NA NA NA 9128 10865 2526 NA NA NA NA
1497085200.0 103.0 39 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 740 136 284 NA NA NA NA NA 769 150 330 NA NA NA NA NA
1497085200.0 10424.0 NA 141 273 0 NA NA NA NA NA 218 325 0 NA NA NA NA NA 848 1809 2240 NA NA NA NA NA 1034 2145 2329 NA NA NA NA
1497085200.0 105.0 49 67 34 NA NA NA NA NA 94 100 55 NA NA NA NA NA 3254 430 4 NA NA NA NA NA 3368 439 7 NA NA NA NA NA
1497085200.0 106.0 38 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 737 128 288 NA NA NA NA NA 781 144 321 NA NA NA NA NA
1497085200.0 107.0 51 67 190 NA NA NA NA NA 95 102 235 NA NA NA NA NA 5874 485 837 NA NA NA NA NA 6301 540 927 NA NA NA NA NA
1497085200.0 108.0 52 69 193 NA NA NA NA NA 96 104 236 NA NA NA NA NA 8767 519 1001 NA NA NA NA NA 9094 585 1021 NA NA NA NA NA
1497085200.0 10823.0 53 137 272 69 0 NA NA NA 92 170 320 105 0 NA NA NA 1667 680 1185 161 2030 NA NA NA 2278 1190 1612 365 2079 NA NA NA
1497085200.0 10824.0 57 140 282 70 0 NA NA NA 97 175 325 105 0 NA NA NA 8531 944 1754 167 2257 NA NA NA 9162 1137 2081 458 2473 NA NA NA
1497085200.0 10825.0 58 152 279 70 0 NA NA NA 96 174 322 105 0 NA NA NA 6647 844 1613 162 2173 NA NA NA 7256 1167 2284 358 2268 NA NA NA
1497085200.0 10826.0 60 153 279 69 0 NA NA NA 100 177 328 105 0 NA NA NA 15048 996 2516 171 2212 NA NA NA 15939 1153 3105 387 2304 NA NA NA
1497085200.0 10842.0 55 137 279 70 0 NA NA NA 93 172 322 105 0 NA NA NA 2595 718 1321 168 2113 NA NA NA 2877 1369 2054 435 2288 NA NA NA
1497085200.0 109.0 53 69 196 NA NA NA NA NA 97 104 236 NA NA NA NA NA 8421 512 961 NA NA NA NA NA 8812 560 984 NA NA NA NA NA
1497085200.0 11.0 NA 77 215 0 56 NA NA NA NA 150 264 0 87 NA NA NA NA 2550 1698 1154 41 NA NA NA NA 2635 1803 1169 47 NA NA NA
1497085200.0 110.0 46 68 193 NA NA NA NA NA 87 101 232 NA NA NA NA NA 1039 446 627 NA NA NA NA NA 1052 454 645 NA NA NA NA NA
1497085200.0 1102.0 NA 79 195 104 63 NA NA NA NA 153 240 147 101 NA NA NA NA 3471 5381 2836 227 NA NA NA NA 3743 5732 2985 245 NA NA NA
1497085200.0 111.0 52 71 191 NA NA NA NA NA 95 102 234 NA NA NA NA NA 3388 347 782 NA NA NA NA NA 3959 423 978 NA NA NA NA NA
1497085200.0 112.0 51 69 188 NA NA NA NA NA 95 103 234 NA NA NA NA NA 6104 498 795 NA NA NA NA NA 6548 538 875 NA NA NA NA NA
1497085200.0 11224.0 57 138 279 0 NA NA NA NA 97 174 323 0 NA NA NA NA 8794 854 1811 2138 NA NA NA NA 9562 1109 2330 2219 NA NA NA NA
1497085200.0 113.0 52 68 189 NA NA NA NA NA 96 104 235 NA NA NA NA NA 7550 553 872 NA NA NA NA NA 8140 598 983 NA NA NA NA NA
1497085200.0 114.0 53 67 190 NA NA NA NA NA 96 103 235 NA NA NA NA NA 7075 526 860 NA NA NA NA NA 7669 612 976 NA NA NA NA NA
1497085200.0 115.0 54 72 191 NA NA NA NA NA 96 103 236 NA NA NA NA NA 7533 570 986 NA NA NA NA NA 7880 626 1100 NA NA NA NA NA
1497085200.0 116.0 51 76 190 NA NA NA NA NA 96 103 235 NA NA NA NA NA 7597 493 912 NA NA NA NA NA 7961 560 1035 NA NA NA NA NA
1497085200.0 117.0 52 69 190 NA NA NA NA NA 96 104 236 NA NA NA NA NA 9412 530 1036 NA NA NA NA NA 9879 579 1138 NA NA NA NA NA
1497085200.0 118.0 53 74 191 NA NA NA NA NA 97 104 237 NA NA NA NA NA 8922 523 1069 NA NA NA NA NA 9346 575 1168 NA NA NA NA NA
1497085200.0 119.0 51 66 187 NA NA NA NA NA 95 103 234 NA NA NA NA NA 5423 473 789 NA NA NA NA NA 5801 533 815 NA NA NA NA NA
1497085200.0 12.0 NA 77 192 0 NA NA NA NA NA 152 240 0 NA NA NA NA NA 2987 3814 1046 NA NA NA NA NA 3118 4167 1122 NA NA NA NA
1497085200.0 120.0 47 68 187 NA NA NA NA NA 82 99 232 NA NA NA NA NA 850 444 713 NA NA NA NA NA 949 637 787 NA NA NA NA NA
1497085200.0 121.0 53 69 191 NA NA NA NA NA 97 103 236 NA NA NA NA NA 9013 536 1083 NA NA NA NA NA 9468 578 1195 NA NA NA NA NA
1497085200.0 122.0 52 81 186 NA NA NA NA NA 93 102 233 NA NA NA NA NA 1175 280 673 NA NA NA NA NA 1307 396 727 NA NA NA NA NA
1497085200.0 123.1 175 NA NA NA NA NA NA NA 222 NA NA NA NA NA NA NA 1116 NA NA NA NA NA NA NA 1201 NA NA NA NA NA NA NA
1497085200.0 123.2 179 NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA 1308 NA NA NA NA NA NA NA 1415 NA NA NA NA NA NA NA
1497085200.0 123.3 160 NA NA NA NA NA NA NA 204 NA NA NA NA NA NA NA 780 NA NA NA NA NA NA NA 843 NA NA NA NA NA NA NA
1497085200.0 124.1 167 NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA 781 NA NA NA NA NA NA NA 853 NA NA NA NA NA NA NA
