Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498078800.0 1.0 82 88 NA NA NA NA NA 180 362 NA NA NA NA NA 1594 331 NA NA NA NA NA 696 172 NA NA NA NA NA
1498078800.0 10.0 NA 118 NA NA NA NA NA NA 375 NA NA NA NA NA NA 1670 NA NA NA NA NA NA 671 NA NA NA NA NA
1498078800.0 10001.0 NA 165 NA NA NA NA NA NA 447 NA NA NA NA NA NA 758 NA NA NA NA NA NA 463 NA NA NA NA NA
1498078800.0 10002.0 NA 156 NA NA NA NA NA NA 447 NA NA NA NA NA NA 718 NA NA NA NA NA NA 392 NA NA NA NA NA
1498078800.0 10003.0 NA 177 NA NA NA NA NA NA 450 NA NA NA NA NA NA 418 NA NA NA NA NA NA 408 NA NA NA NA NA
1498078800.0 10004.0 NA 152 NA NA NA NA NA NA 458 NA NA NA NA NA NA 731 NA NA NA NA NA NA 413 NA NA NA NA NA
1498078800.0 10005.0 NA 155 NA NA NA NA NA NA 447 NA NA NA NA NA NA 705 NA NA NA NA NA NA 399 NA NA NA NA NA
1498078800.0 10006.0 NA 165 NA NA NA NA NA NA 447 NA NA NA NA NA NA 633 NA NA NA NA NA NA 334 NA NA NA NA NA
1498078800.0 10007.0 NA 158 NA NA NA NA NA NA 446 NA NA NA NA NA NA 753 NA NA NA NA NA NA 435 NA NA NA NA NA
1498078800.0 10008.0 NA 159 NA NA NA NA NA NA 448 NA NA NA NA NA NA 653 NA NA NA NA NA NA 321 NA NA NA NA NA
1498078800.0 10009.0 NA 167 NA NA NA NA NA NA 448 NA NA NA NA NA NA 390 NA NA NA NA NA NA 232 NA NA NA NA NA
1498078800.0 10023.0 NA 166 NA NA NA NA NA NA 446 NA NA NA NA NA NA 654 NA NA NA NA NA NA 352 NA NA NA NA NA
1498078800.0 10024.0 NA 192 NA NA NA NA NA NA 447 NA NA NA NA NA NA 602 NA NA NA NA NA NA 350 NA NA NA NA NA
1498078800.0 10024.1 NA 182 NA NA NA NA NA NA 449 NA NA NA NA NA NA 410 NA NA NA NA NA NA 238 NA NA NA NA NA
1498078800.0 10024.2 NA 181 NA NA NA NA NA NA 448 NA NA NA NA NA NA 429 NA NA NA NA NA NA 243 NA NA NA NA NA
1498078800.0 10024.3 NA 181 NA NA NA NA NA NA 450 NA NA NA NA NA NA 435 NA NA NA NA NA NA 278 NA NA NA NA NA
1498078800.0 10024.4 NA 175 NA NA NA NA NA NA 448 NA NA NA NA NA NA 763 NA NA NA NA NA NA 441 NA NA NA NA NA
1498078800.0 10024.5 NA 188 NA NA NA NA NA NA 449 NA NA NA NA NA NA 416 NA NA NA NA NA NA 228 NA NA NA NA NA
1498078800.0 10024.6 NA 182 NA NA NA NA NA NA 450 NA NA NA NA NA NA 678 NA NA NA NA NA NA 359 NA NA NA NA NA
1498078800.0 10025.0 NA 175 NA NA NA NA NA NA 446 NA NA NA NA NA NA 448 NA NA NA NA NA NA 257 NA NA NA NA NA
1498078800.0 10026.0 NA 189 NA NA NA NA NA NA 448 NA NA NA NA NA NA 483 NA NA NA NA NA NA 2066 NA NA NA NA NA
1498078800.0 1004.0 NA 333 361 0 0 0 0 NA 443 449 0 0 0 0 NA 447 413 6 29 328 294 NA 347 332 13 27 310 298
1498078800.0 10042.0 NA 172 NA NA NA NA NA NA 446 NA NA NA NA NA NA 717 NA NA NA NA NA NA 400 NA NA NA NA NA
1498078800.0 10059.0 NA 183 NA NA NA NA NA NA 447 NA NA NA NA NA NA 831 NA NA NA NA NA NA 459 NA NA NA NA NA
1498078800.0 10071.0 NA 176 NA NA NA NA NA NA 448 NA NA NA NA NA NA 851 NA NA NA NA NA NA 438 NA NA NA NA NA
1498078800.0 1010.0 NA 74 37 0 NA NA NA NA 151 92 0 NA NA NA NA 73 18 18 NA NA NA NA 72 16 23 NA NA NA
1498078800.0 1020.0 NA 44 NA NA NA NA NA NA 125 NA NA NA NA NA NA 39 NA NA NA NA NA NA 68 NA NA NA NA NA
1498078800.0 10224.0 NA 295 NA NA NA NA NA NA 476 NA NA NA NA NA NA 3873 NA NA NA NA NA NA 1927 NA NA NA NA NA
1498078800.0 10225.0 NA 270 NA NA NA NA NA NA 482 NA NA NA NA NA NA 2178 NA NA NA NA NA NA 1778 NA NA NA NA NA
1498078800.0 103.0 36 0 NA NA NA NA NA 96 0 NA NA NA NA NA 577 91 NA NA NA NA NA 338 77 NA NA NA NA NA
1498078800.0 10424.0 NA 171 NA NA NA NA NA NA 447 NA NA NA NA NA NA 716 NA NA NA NA NA NA 459 NA NA NA NA NA
1498078800.0 105.0 83 84 25 NA NA NA NA 183 362 81 NA NA NA NA 1684 256 2 NA NA NA NA 736 121 4 NA NA NA NA
1498078800.0 106.0 44 0 NA NA NA NA NA 96 0 NA NA NA NA NA 561 93 NA NA NA NA NA 329 76 NA NA NA NA NA
1498078800.0 107.0 92 85 NA NA NA NA NA 193 363 NA NA NA NA NA 3609 285 NA NA NA NA NA 1231 134 NA NA NA NA NA
1498078800.0 108.0 98 99 NA NA NA NA NA 195 363 NA NA NA NA NA 4279 294 NA NA NA NA NA 1406 186 NA NA NA NA NA
1498078800.0 10823.0 63 161 NA NA NA NA NA 138 440 NA NA NA NA NA 3431 675 NA NA NA NA NA 1748 337 NA NA NA NA NA
1498078800.0 10824.0 73 190 NA NA NA NA NA 146 435 NA NA NA NA NA 4576 559 NA NA NA NA NA 1701 301 NA NA NA NA NA
1498078800.0 10825.0 77 184 NA NA NA NA NA 141 440 NA NA NA NA NA 3531 420 NA NA NA NA NA 1147 224 NA NA NA NA NA
1498078800.0 10826.0 81 190 NA NA NA NA NA 148 440 NA NA NA NA NA 6579 522 NA NA NA NA NA 2434 275 NA NA NA NA NA
1498078800.0 10842.0 56 154 NA NA NA NA NA 124 440 NA NA NA NA NA 2233 593 NA NA NA NA NA 1024 394 NA NA NA NA NA
1498078800.0 109.0 96 91 NA NA NA NA NA 193 362 NA NA NA NA NA 4688 307 NA NA NA NA NA 1702 136 NA NA NA NA NA
1498078800.0 11.0 NA 98 NA NA NA NA NA NA 375 NA NA NA NA NA NA 1272 NA NA NA NA NA NA 388 NA NA NA NA NA
1498078800.0 110.0 53 81 NA NA NA NA NA 127 363 NA NA NA NA NA 764 266 NA NA NA NA NA 361 120 NA NA NA NA NA
1498078800.0 1102.0 NA 103 NA NA NA NA NA NA 375 NA NA NA NA NA NA 2400 NA NA NA NA NA NA 707 NA NA NA NA NA
1498078800.0 111.0 93 86 NA NA NA NA NA 188 363 NA NA NA NA NA 2125 237 NA NA NA NA NA 775 124 NA NA NA NA NA
1498078800.0 112.0 94 87 NA NA NA NA NA 194 362 NA NA NA NA NA 7229 383 NA NA NA NA NA 2216 174 NA NA NA NA NA
1498078800.0 11224.0 70 175 NA NA NA NA NA 146 440 NA NA NA NA NA 7302 851 NA NA NA NA NA 2781 391 NA NA NA NA NA
1498078800.0 113.0 90 86 NA NA NA NA NA 188 363 NA NA NA NA NA 3366 304 NA NA NA NA NA 1132 136 NA NA NA NA NA
1498078800.0 114.0 92 87 NA NA NA NA NA 189 363 NA NA NA NA NA 3220 283 NA NA NA NA NA 1093 127 NA NA NA NA NA
1498078800.0 115.0 92 97 NA NA NA NA NA 195 362 NA NA NA NA NA 3745 291 NA NA NA NA NA 1155 128 NA NA NA NA NA
1498078800.0 116.0 88 94 NA NA NA NA NA 189 363 NA NA NA NA NA 3881 287 NA NA NA NA NA 1427 139 NA NA NA NA NA
1498078800.0 117.0 88 97 NA NA NA NA NA 191 363 NA NA NA NA NA 4060 324 NA NA NA NA NA 1348 141 NA NA NA NA NA
1498078800.0 118.0 98 100 NA NA NA NA NA 190 362 NA NA NA NA NA 4034 297 NA NA NA NA NA 1732 136 NA NA NA NA NA
1498078800.0 119.0 89 89 NA NA NA NA NA 193 362 NA NA NA NA NA 2992 283 NA NA NA NA NA 953 143 NA NA NA NA NA
1498078800.0 12.0 NA 110 NA NA NA NA NA NA 375 NA NA NA NA NA NA 1474 NA NA NA NA NA NA 456 NA NA NA NA NA
1498078800.0 120.0 55 82 NA NA NA NA NA 133 363 NA NA NA NA NA 686 253 NA NA NA NA NA 337 121 NA NA NA NA NA
1498078800.0 121.0 88 95 NA NA NA NA NA 188 363 NA NA NA NA NA 3655 297 NA NA NA NA NA 1310 137 NA NA NA NA NA
1498078800.0 122.0 56 76 NA NA NA NA NA 135 363 NA NA NA NA NA 852 168 NA NA NA NA NA 449 96 NA NA NA NA NA
1498078800.0 125.0 78 82 NA NA NA NA NA 188 363 NA NA NA NA NA 3148 302 NA NA NA NA NA 1071 132 NA NA NA NA NA
1498078800.0 126.0 55 88 NA NA NA NA NA 135 363 NA NA NA NA NA 1215 249 NA NA NA NA NA 490 141 NA NA NA NA NA
1498078800.0 127.0 61 86 NA NA NA NA NA 136 362 NA NA NA NA NA 1059 236 NA NA NA NA NA 437 113 NA NA NA NA NA
1498078800.0 128.0 50 80 NA NA NA NA NA 118 362 NA NA NA NA NA 666 255 NA NA NA NA NA 321 126 NA NA NA NA NA
1498078800.0 129.0 51 84 NA NA NA NA NA 119 362 NA NA NA NA NA 685 254 NA NA NA NA NA 332 112 NA NA NA NA NA
1498078800.0 13.0 NA 101 NA NA NA NA NA NA 376 NA NA NA NA NA NA 220 NA NA NA NA NA NA 135 NA NA NA NA NA
1498078800.0 130.0 53 83 NA NA NA NA NA 121 363 NA NA NA NA NA 741 257 NA NA NA NA NA 345 117 NA NA NA NA NA
1498078800.0 1301.0 86 168 NA NA NA NA NA 162 464 NA NA NA NA NA 1606 473 NA NA NA NA NA 723 296 NA NA NA NA NA
1498078800.0 1302.0 98 179 NA NA NA NA NA 177 460 NA NA NA NA NA 6634 1136 NA NA NA NA NA 2267 563 NA NA NA NA NA
1498078800.0 1303.0 89 193 NA NA NA NA NA 169 459 NA NA NA NA NA 6805 537 NA NA NA NA NA 2405 342 NA NA NA NA NA
1498078800.0 1306.0 NA 191 NA NA NA NA NA NA 471 NA NA NA NA NA NA 693 NA NA NA NA NA NA 402 NA NA NA NA NA
1498078800.0 1307.0 NA 158 202 50 0 NA NA NA 467 296 110 0 NA NA NA 653 872 71 368 NA NA NA 428 827 80 377 NA NA
1498078800.0 1308.0 NA 170 205 54 0 NA NA NA 465 288 109 0 NA NA NA 416 343 23 226 NA NA NA 248 307 26 231 NA NA
1498078800.0 1309.0 NA 201 NA NA NA NA NA NA 465 NA NA NA NA NA NA 936 NA NA NA NA NA NA 515 NA NA NA NA NA
1498078800.0 131.0 56 81 NA NA NA NA NA 130 363 NA NA NA NA NA 1183 240 NA NA NA NA NA 473 121 NA NA NA NA NA
1498078800.0 1310.0 NA 209 NA NA NA NA NA NA 471 NA NA NA NA NA NA 1070 NA NA NA NA NA NA 733 NA NA NA NA NA
1498078800.0 1311.0 NA 198 NA NA NA NA NA NA 469 NA NA NA NA NA NA 429 NA NA NA NA NA NA 301 NA NA NA NA NA
1498078800.0 1312.0 NA 194 NA NA NA NA NA NA 473 NA NA NA NA NA NA 1144 NA NA NA NA NA NA 662 NA NA NA NA NA
1498078800.0 1313.0 NA 208 NA NA NA NA NA NA 471 NA NA NA NA NA NA 1049 NA NA NA NA NA NA 569 NA NA NA NA NA
1498078800.0 1314.0 NA 201 NA NA NA NA NA NA 470 NA NA NA NA NA NA 808 NA NA NA NA NA NA 445 NA NA NA NA NA
1498078800.0 1315.0 NA 183 NA NA NA NA NA NA 472 NA NA NA NA NA NA 667 NA NA NA NA NA NA 395 NA NA NA NA NA
1498078800.0 1316.0 NA 179 NA NA NA NA NA NA 518 NA NA NA NA NA NA 745 NA NA NA NA NA NA 424 NA NA NA NA NA
1498078800.0 1317.0 NA 186 NA NA NA NA NA NA 471 NA NA NA NA NA NA 811 NA NA NA NA NA NA 507 NA NA NA NA NA
1498078800.0 1318.0 NA 196 NA NA NA NA NA NA 469 NA NA NA NA NA NA 902 NA NA NA NA NA NA 676 NA NA NA NA NA
1498078800.0 1319.0 NA 194 NA NA NA NA NA NA 468 NA NA NA NA NA NA 671 NA NA NA NA NA NA 401 NA NA NA NA NA
1498078800.0 132.0 81 97 NA NA NA NA NA 177 362 NA NA NA NA NA 3568 311 NA NA NA NA NA 1207 153 NA NA NA NA NA
1498078800.0 1320.0 NA 175 NA NA NA NA NA NA 471 NA NA NA NA NA NA 1073 NA NA NA NA NA NA 589 NA NA NA NA NA
1498078800.0 1321.0 NA 205 NA NA NA NA NA NA 469 NA NA NA NA NA NA 437 NA NA NA NA NA NA 416 NA NA NA NA NA
1498078800.0 1322.0 NA 196 NA NA NA NA NA NA 470 NA NA NA NA NA NA 505 NA NA NA NA NA NA 300 NA NA NA NA NA
1498078800.0 1323.0 NA 194 NA NA NA NA NA NA 473 NA NA NA NA NA NA 743 NA NA NA NA NA NA 426 NA NA NA NA NA
1498078800.0 1324.0 NA 212 NA NA NA NA NA NA 471 NA NA NA NA NA NA 933 NA NA NA NA NA NA 517 NA NA NA NA NA
1498078800.0 1325.0 NA 215 NA NA NA NA NA NA 472 NA NA NA NA NA NA 1199 NA NA NA NA NA NA 669 NA NA NA NA NA
1498078800.0 1325.1 NA 221 NA NA NA NA NA NA 471 NA NA NA NA NA NA 549 NA NA NA NA NA NA 385 NA NA NA NA NA
1498078800.0 1325.2 NA 208 NA NA NA NA NA NA 471 NA NA NA NA NA NA 790 NA NA NA NA NA NA 504 NA NA NA NA NA
1498078800.0 1325.3 NA 214 NA NA NA NA NA NA 471 NA NA NA NA NA NA 533 NA NA NA NA NA NA 520 NA NA NA NA NA
1498078800.0 1325.4 NA 218 NA NA NA NA NA NA 471 NA NA NA NA NA NA 1181 NA NA NA NA NA NA 782 NA NA NA NA NA
1498078800.0 1326.0 NA 204 NA NA NA NA NA NA 472 NA NA NA NA NA NA 531 NA NA NA NA NA NA 319 NA NA NA NA NA
1498078800.0 1327.0 NA 203 NA NA NA NA NA NA 470 NA NA NA NA NA NA 678 NA NA NA NA NA NA 386 NA NA NA NA NA
1498078800.0 1328.0 NA 208 NA NA NA NA NA NA 470 NA NA NA NA NA NA 913 NA NA NA NA NA NA 545 NA NA NA NA NA
1498078800.0 1329.0 NA 205 NA NA NA NA NA NA 470 NA NA NA NA NA NA 805 NA NA NA NA NA NA 450 NA NA NA NA NA
1498078800.0 133.0 95 101 NA NA NA NA NA 199 362 NA NA NA NA NA 5419 318 NA NA NA NA NA 1725 137 NA NA NA NA NA
1498078800.0 1330.0 NA 206 NA NA NA NA NA NA 469 NA NA NA NA NA NA 673 NA NA NA NA NA NA 380 NA NA NA NA NA
1498078800.0 1331.0 NA 190 NA NA NA NA NA NA 468 NA NA NA NA NA NA 781 NA NA NA NA NA NA 443 NA NA NA NA NA
1498078800.0 1332.0 NA 217 NA NA NA NA NA NA 472 NA NA NA NA NA NA 493 NA NA NA NA NA NA 275 NA NA NA NA NA
1498078800.0 1333.0 NA 181 NA NA NA NA NA NA 470 NA NA NA NA NA NA 1025 NA NA NA NA NA NA 569 NA NA NA NA NA
1498078800.0 1334.0 NA 212 NA NA NA NA NA NA 472 NA NA NA NA NA NA 534 NA NA NA NA NA NA 324 NA NA NA NA NA
1498078800.0 1335.0 NA 199 NA NA NA NA NA NA 469 NA NA NA NA NA NA 788 NA NA NA NA NA NA 421 NA NA NA NA NA
1498078800.0 1336.0 NA 232 NA NA NA NA NA NA 469 NA NA NA NA NA NA 859 NA NA NA NA NA NA 390 NA NA NA NA NA
1498078800.0 1337.0 NA 201 NA NA NA NA NA NA 470 NA NA NA NA NA NA 1381 NA NA NA NA NA NA 721 NA NA NA NA NA
1498078800.0 1338.0 NA 203 NA NA NA NA NA NA 471 NA NA NA NA NA NA 930 NA NA NA NA NA NA 519 NA NA NA NA NA
1498078800.0 1339.0 NA 217 NA NA NA NA NA NA 470 NA NA NA NA NA NA 1029 NA NA NA NA NA NA 514 NA NA NA NA NA
1498078800.0 134.701 NA 34 NA NA NA NA NA NA 103 NA NA NA NA NA NA 134 NA NA NA NA NA NA 71 NA NA NA NA NA
1498078800.0 134.702 NA 38 NA NA NA NA NA NA 100 NA NA NA NA NA NA 95 NA NA NA NA NA NA 49 NA NA NA NA NA
