Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1498078800.0 134.702 NA 28 NA NA 157 NA NA 73 NA NA 96 NA
1498078800.0 134.803 NA 30 NA NA 164 NA NA 89 NA NA 128 NA
1498078800.0 134.804 NA 35 NA NA 163 NA NA 82 NA NA 188 NA
1498078800.0 134.807 NA 78 NA NA 231 NA NA 349 NA NA 565 NA
1498078800.0 134.808 NA 75 NA NA 231 NA NA 359 NA NA 599 NA
1498078800.0 134.907 NA 80 NA NA 231 NA NA 279 NA NA 441 NA
1498078800.0 134.908 NA 82 NA NA 233 NA NA 269 NA NA 296 NA
1498078800.0 134.912 NA 25 NA NA 160 NA NA 69 NA NA 80 NA
1498078800.0 4.23 NA 61 NA NA 194 NA NA 71 NA NA 128 NA
1498078800.0 4.25 NA 55 NA NA 182 NA NA 57 NA NA 68 NA
1498078800.0 4.28 NA 60 NA NA 199 NA NA 69 NA NA 333 NA
1498078800.0 4.34 NA 66 NA NA 192 NA NA 74 NA NA 247 NA
1498078800.0 4.36 NA 52 NA NA 179 NA NA 60 NA NA 98 NA
1498078800.0 4.41 NA 25 NA NA 152 NA NA 69 NA NA 121 NA
1498078800.0 4.51 NA 25 NA NA 153 NA NA 67 NA NA 155 NA
1498078800.0 4.52 NA 29 NA NA 152 NA NA 76 NA NA 118 NA
1498078800.0 4.53 NA 25 NA NA 153 NA NA 75 NA NA 103 NA
1498078800.0 4.55 NA 31 NA NA 152 NA NA 76 NA NA 92 NA
1498078800.0 4.62 NA 26 NA NA 153 NA NA 72 NA NA 129 NA
1498078800.0 4.65 NA 25 NA NA 152 NA NA 89 NA NA 113 NA
1498078800.0 4.71 NA 31 NA NA 153 NA NA 66 NA NA 130 NA
1498078800.0 4.72 NA 25 NA NA 152 NA NA 73 NA NA 103 NA
1498078800.0 4.74 NA 25 NA NA 153 NA NA 73 NA NA 158 NA
1498078800.0 504.0 31 0 NA 147 0 NA 39 10 NA 43 17 NA
1498078800.0 505.0 33 0 NA 147 0 NA 45 10 NA 51 17 NA
1498078800.0 506.0 29 0 NA 146 0 NA 33 10 NA 38 20 NA
1498078800.0 507.0 33 0 NA 146 0 NA 53 11 NA 58 16 NA
1498078800.0 508.0 31 0 NA 146 0 NA 27 12 NA 31 18 NA
1498078800.0 509.0 35 0 NA 146 0 NA 20 12 NA 23 16 NA
1498078800.0 512.0 15 32 0 200 149 0 1376 27 11 46018 58 19
1498078800.0 513.0 15 38 0 200 149 0 362 31 10 1319 217 55
1498078800.0 514.0 15 36 0 200 149 0 276 39 11 1375 133 27
1498078800.0 516.0 15 37 0 200 149 0 393 27 11 17626 170 49
1498078800.0 517.0 15 37 0 200 149 0 1270 38 10 6115 216 50
1498078800.0 518.0 15 31 0 200 149 0 1356 31 11 45983 59 16
1498078800.0 519.0 21 37 0 200 149 0 384 26 11 14245 422 47
1498078800.0 520.0 15 37 0 200 149 0 1268 40 11 4627 225 223
1498078800.0 521.0 15 36 0 200 150 0 372 43 11 18739 333 36
1498078800.0 523.0 15 41 0 200 161 0 1667 67 11 4023 785 97
1498078800.0 524.0 15 35 0 200 149 0 1253 41 10 7480 774 75
1498078800.0 525.0 15 31 0 200 150 0 391 42 12 17620 187 91
1498078800.0 526.0 15 31 0 200 151 0 1350 29 11 45836 39 19
1498078800.0 527.0 15 37 0 200 149 0 1299 43 11 9375 395 105
1498078800.0 528.0 16 38 0 200 150 0 379 32 11 14288 445 41
1498078800.0 530.0 16 30 0 200 149 0 1218 46 11 3310 471 120
1498078800.0 534.0 32 0 NA 159 0 NA 43 12 NA 65 19 NA
1498078800.0 541.0 39 0 NA 158 0 NA 44 10 NA 49 14 NA
1498078800.0 545.0 46 0 NA 158 0 NA 40 11 NA 48 18 NA
1498078800.0 551.0 15 38 0 200 149 0 1626 59 11 2424 310 80
1498078800.0 552.0 15 31 0 200 149 0 1265 45 11 4863 545 55
1498078800.0 554.0 15 37 0 200 149 0 2497 42 11 7426 275 32
1498078800.0 555.0 15 38 0 200 149 0 634 35 10 8658 324 24
1498078800.0 556.0 15 37 0 200 149 0 270 45 11 1401 285 38
1498078800.0 560.0 33 0 NA 146 0 NA 35 11 NA 47 18 NA
1498078800.0 561.0 34 0 NA 146 0 NA 39 11 NA 44 27 NA
1498078800.0 562.0 21 36 0 200 149 0 169 41 10 899 237 64
