Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1498251600.0 1010.0 NA 37 38 0 NA 176 145 0 NA 23 15 61 NA 41 31 70
1498251600.0 134.702 NA 31 NA NA NA 157 NA NA NA 71 NA NA NA 121 NA NA
1498251600.0 134.706 NA 40 NA NA NA 162 NA NA NA 72 NA NA NA 85 NA NA
1498251600.0 134.709 NA 32 NA NA NA 164 NA NA NA 79 NA NA NA 103 NA NA
1498251600.0 134.801 NA 31 NA NA NA 161 NA NA NA 80 NA NA NA 100 NA NA
1498251600.0 134.802 NA 30 NA NA NA 164 NA NA NA 88 NA NA NA 134 NA NA
1498251600.0 134.803 NA 33 NA NA NA 164 NA NA NA 97 NA NA NA 124 NA NA
1498251600.0 134.804 NA 27 NA NA NA 163 NA NA NA 83 NA NA NA 104 NA NA
1498251600.0 134.806 NA 28 NA NA NA 162 NA NA NA 89 NA NA NA 112 NA NA
1498251600.0 134.807 NA 83 NA NA NA 232 NA NA NA 366 NA NA NA 429 NA NA
1498251600.0 134.808 NA 75 NA NA NA 231 NA NA NA 363 NA NA NA 432 NA NA
1498251600.0 134.809 NA 34 NA NA NA 161 NA NA NA 87 NA NA NA 107 NA NA
1498251600.0 134.81 NA 26 NA NA NA 162 NA NA NA 87 NA NA NA 125 NA NA
1498251600.0 134.811 NA 35 NA NA NA 163 NA NA NA 85 NA NA NA 104 NA NA
1498251600.0 134.901 NA 33 NA NA NA 161 NA NA NA 67 NA NA NA 82 NA NA
1498251600.0 134.904 NA 26 NA NA NA 163 NA NA NA 81 NA NA NA 138 NA NA
1498251600.0 134.905 NA 38 NA NA NA 163 NA NA NA 76 NA NA NA 99 NA NA
1498251600.0 134.907 NA 75 NA NA NA 231 NA NA NA 280 NA NA NA 317 NA NA
