Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1497301200.0 1010.0 NA 43 36 0 NA 176 145 0 NA 25 17 60 NA 64 23 68
1497301200.0 1020.0 NA 41 NA NA NA 181 NA NA NA 34 NA NA NA 88 NA NA
1497301200.0 134.701 NA 35 NA NA NA 160 NA NA NA 83 NA NA NA 96 NA NA
1497301200.0 134.702 NA 34 NA NA NA 157 NA NA NA 89 NA NA NA 105 NA NA
1497301200.0 134.703 NA 32 NA NA NA 162 NA NA NA 82 NA NA NA 123 NA NA
1497301200.0 134.704 NA 31 NA NA NA 157 NA NA NA 72 NA NA NA 97 NA NA
1497301200.0 134.705 NA 39 NA NA NA 162 NA NA NA 99 NA NA NA 116 NA NA
1497301200.0 134.706 NA 39 NA NA NA 162 NA NA NA 107 NA NA NA 121 NA NA
1497301200.0 134.707 NA 32 NA NA NA 160 NA NA NA 87 NA NA NA 106 NA NA
1497301200.0 134.708 NA 33 NA NA NA 158 NA NA NA 84 NA NA NA 118 NA NA
1497301200.0 134.709 NA 36 NA NA NA 163 NA NA NA 84 NA NA NA 137 NA NA
1497301200.0 134.71 NA 32 NA NA NA 153 NA NA NA 68 NA NA NA 79 NA NA
1497301200.0 134.801 NA 30 NA NA NA 161 NA NA NA 71 NA NA NA 88 NA NA
1497301200.0 134.802 NA 35 NA NA NA 163 NA NA NA 102 NA NA NA 122 NA NA
1497301200.0 134.803 NA 36 NA NA NA 164 NA NA NA 105 NA NA NA 126 NA NA
1497301200.0 134.804 NA 33 NA NA NA 163 NA NA NA 99 NA NA NA 154 NA NA
1497301200.0 134.805 NA 32 NA NA NA 168 NA NA NA 104 NA NA NA 146 NA NA
1497301200.0 134.806 NA 35 NA NA NA 162 NA NA NA 92 NA NA NA 144 NA NA
1497301200.0 134.807 NA 78 NA NA NA 231 NA NA NA 442 NA NA NA 674 NA NA
1497301200.0 134.808 NA 80 NA NA NA 231 NA NA NA 382 NA NA NA 414 NA NA
1497301200.0 134.809 NA 36 NA NA NA 161 NA NA NA 100 NA NA NA 124 NA NA
1497301200.0 134.81 NA 32 NA NA NA 160 NA NA NA 105 NA NA NA 139 NA NA
1497301200.0 134.811 NA 30 NA NA NA 162 NA NA NA 99 NA NA NA 126 NA NA
1497301200.0 134.812 NA 34 NA NA NA 160 NA NA NA 67 NA NA NA 81 NA NA
1497301200.0 134.901 NA 35 NA NA NA 161 NA NA NA 86 NA NA NA 99 NA NA
1497301200.0 134.902 NA 31 NA NA NA 165 NA NA NA 78 NA NA NA 95 NA NA
1497301200.0 134.903 NA 39 NA NA NA 165 NA NA NA 89 NA NA NA 104 NA NA
1497301200.0 134.904 NA 35 NA NA NA 163 NA NA NA 79 NA NA NA 100 NA NA
1497301200.0 134.905 NA 38 NA NA NA 163 NA NA NA 97 NA NA NA 114 NA NA
1497301200.0 134.906 NA 32 NA NA NA 163 NA NA NA 83 NA NA NA 189 NA NA
1497301200.0 134.907 NA 83 NA NA NA 231 NA NA NA 290 NA NA NA 332 NA NA
1497301200.0 134.908 NA 86 NA NA NA 234 NA NA NA 301 NA NA NA 371 NA NA
1497301200.0 134.909 NA 37 NA NA NA 164 NA NA NA 87 NA NA NA 122 NA NA
1497301200.0 134.91 NA 29 NA NA NA 163 NA NA NA 85 NA NA NA 118 NA NA
1497301200.0 134.911 NA 33 NA NA NA 163 NA NA NA 85 NA NA NA 103 NA NA
1497301200.0 134.912 NA 33 NA NA NA 160 NA NA NA 73 NA NA NA 86 NA NA
1497301200.0 134.99601 NA 36 NA NA NA 162 NA NA NA 97 NA NA NA 136 NA NA
1497301200.0 134.99602 NA 35 NA NA NA 163 NA NA NA 102 NA NA NA 126 NA NA
1497301200.0 134.99603 NA 28 NA NA NA 163 NA NA NA 108 NA NA NA 133 NA NA
1497301200.0 134.99901 NA 32 NA NA NA 163 NA NA NA 87 NA NA NA 116 NA NA
1497301200.0 140.51 NA 35 NA NA NA 147 NA NA NA 309 NA NA NA 400 NA NA
1497301200.0 4.17 NA 36 NA NA NA 152 NA NA NA 57 NA NA NA 80 NA NA
1497301200.0 4.23 NA 71 NA NA NA 194 NA NA NA 81 NA NA NA 201 NA NA
1497301200.0 4.24 NA 58 NA NA NA 180 NA NA NA 58 NA NA NA 77 NA NA
1497301200.0 4.25 NA 64 NA NA NA 183 NA NA NA 49 NA NA NA 60 NA NA
1497301200.0 4.26 NA 63 NA NA NA 179 NA NA NA 46 NA NA NA 68 NA NA
