Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497736800.0 1.0 70 82 140 NA NA NA NA NA 163 359 211 NA NA NA NA NA 3955 484 320 NA NA NA NA NA 1644 223 292 NA NA NA NA NA
1497736800.0 10.0 NA 108 383 0 NA NA NA NA NA 367 498 0 NA NA NA NA NA 2054 2038 441 NA NA NA NA NA 663 896 449 NA NA NA NA
1497736800.0 1000.0 NA 400 139 0 52 NA NA NA NA 515 211 0 104 NA NA NA NA 1532 372 340 82 NA NA NA NA 687 246 351 129 NA NA NA
1497736800.0 1001.0 NA 391 425 0 0 0 0 0 NA 496 513 0 0 0 0 0 NA 1316 502 4 16 210 23 211 NA 598 459 10 19 213 31 216
1497736800.0 1002.0 NA 375 66 NA NA NA NA NA NA 481 125 NA NA NA NA NA NA 2445 201 NA NA NA NA NA NA 1099 110 NA NA NA NA NA
1497736800.0 10023.0 NA 169 518 87 0 NA NA NA NA 451 680 148 0 NA NA NA NA 504 2668 111 608 NA NA NA NA 453 2761 156 617 NA NA NA
1497736800.0 10024.0 NA 186 538 98 0 NA NA NA NA 451 698 150 0 NA NA NA NA 438 2512 65 514 NA NA NA NA 247 2325 88 524 NA NA NA
1497736800.0 10024.1 NA 181 351 0 NA NA NA NA NA 453 490 0 NA NA NA NA NA 745 508 450 NA NA NA NA NA 424 448 462 NA NA NA NA
1497736800.0 10024.2 NA 181 534 0 NA NA NA NA NA 452 683 0 NA NA NA NA NA 623 2938 600 NA NA NA NA NA 309 2671 612 NA NA NA NA
1497736800.0 10024.3 NA 186 323 0 NA NA NA NA NA 452 459 0 NA NA NA NA NA 630 558 473 NA NA NA NA NA 363 600 480 NA NA NA NA
1497736800.0 10024.4 NA 183 452 0 NA NA NA NA NA 449 693 0 NA NA NA NA NA 785 3132 662 NA NA NA NA NA 381 3436 683 NA NA NA NA
1497736800.0 10024.5 NA 192 356 0 NA NA NA NA NA 452 464 0 NA NA NA NA NA 635 628 573 NA NA NA NA NA 350 509 607 NA NA NA NA
1497736800.0 10024.6 NA 193 530 0 NA NA NA NA NA 452 695 0 NA NA NA NA NA 652 3418 798 NA NA NA NA NA 389 3126 811 NA NA NA NA
1497736800.0 10025.0 NA 178 524 96 0 NA NA NA NA 445 690 149 0 NA NA NA NA 698 2802 108 602 NA NA NA NA 345 2685 139 616 NA NA NA
1497736800.0 10026.0 NA 182 438 94 0 NA NA NA NA 449 692 150 0 NA NA NA NA 746 3294 135 588 NA NA NA NA 377 3742 202 607 NA NA NA
1497736800.0 1003.0 NA 302 0 NA NA NA NA NA NA 418 0 NA NA NA NA NA NA 3209 335 NA NA NA NA NA NA 1256 371 NA NA NA NA NA
1497736800.0 1004.0 NA 373 360 0 0 0 0 NA NA 491 446 0 0 0 0 NA NA 688 537 6 25 387 378 NA NA 548 520 11 29 391 381 NA
1497736800.0 10042.0 NA 173 528 88 0 NA NA NA NA 452 688 150 0 NA NA NA NA 395 2459 71 484 NA NA NA NA 255 2383 271 512 NA NA NA
1497736800.0 101.0 83 NA NA NA NA NA NA NA 164 NA NA NA NA NA NA NA 1238 NA NA NA NA NA NA NA 1249 NA NA NA NA NA NA NA
1497736800.0 102.0 86 NA NA NA NA NA NA NA 164 NA NA NA NA NA NA NA 829 NA NA NA NA NA NA NA 838 NA NA NA NA NA NA NA
1497736800.0 10224.0 NA 287 734 0 NA NA NA NA NA 482 976 0 NA NA NA NA NA 4933 7679 927 NA NA NA NA NA 3607 5560 937 NA NA NA NA
1497736800.0 10225.0 NA 284 755 0 NA NA NA NA NA 477 961 0 NA NA NA NA NA 3053 6281 961 NA NA NA NA NA 2904 4517 972 NA NA NA NA
1497736800.0 103.0 35 0 0 NA NA NA NA NA 95 0 0 NA NA NA NA NA 463 160 357 NA NA NA NA NA 471 75 403 NA NA NA NA NA
1497736800.0 10424.0 NA 176 531 0 NA NA NA NA NA 452 694 0 NA NA NA NA NA 713 2862 670 NA NA NA NA NA 507 2789 727 NA NA NA NA
1497736800.0 105.0 73 81 26 NA NA NA NA NA 164 360 77 NA NA NA NA NA 3653 414 3 NA NA NA NA NA 1481 188 7 NA NA NA NA NA
1497736800.0 106.0 34 0 0 NA NA NA NA NA 95 0 0 NA NA NA NA NA 477 236 335 NA NA NA NA NA 484 100 341 NA NA NA NA NA
1497736800.0 107.0 77 96 371 NA NA NA NA NA 182 360 474 NA NA NA NA NA 2976 298 424 NA NA NA NA NA 1225 151 353 NA NA NA NA NA
1497736800.0 108.0 82 98 383 NA NA NA NA NA 182 360 497 NA NA NA NA NA 3775 289 482 NA NA NA NA NA 1367 147 367 NA NA NA NA NA
1497736800.0 10823.0 72 169 522 88 0 NA NA NA 130 444 678 148 0 NA NA NA 1961 508 3288 93 727 NA NA NA 1040 305 3206 271 738 NA NA NA
1497736800.0 10824.0 74 198 490 98 0 NA NA NA 142 444 698 150 0 NA NA NA 6298 790 3498 97 799 NA NA NA 2528 440 3452 139 839 NA NA NA
1497736800.0 10825.0 75 186 532 97 0 NA NA NA 136 444 679 149 0 NA NA NA 4736 583 3323 101 767 NA NA NA 1654 316 3118 276 777 NA NA NA
1497736800.0 10826.0 75 188 541 89 0 NA NA NA 142 443 704 150 0 NA NA NA 10222 955 4224 121 791 NA NA NA 3772 441 3500 162 801 NA NA NA
1497736800.0 10842.0 58 171 517 88 0 NA NA NA 120 443 671 149 0 NA NA NA 1217 350 3097 102 717 NA NA NA 939 274 3054 149 729 NA NA NA
1497736800.0 109.0 81 96 374 NA NA NA NA NA 186 360 472 NA NA NA NA NA 3783 292 488 NA NA NA NA NA 1427 136 366 NA NA NA NA NA
1497736800.0 11.0 NA 103 472 0 63 NA NA NA NA 372 585 0 113 NA NA NA NA 1341 780 341 19 NA NA NA NA 424 490 347 31 NA NA NA
1497736800.0 110.0 55 89 366 NA NA NA NA NA 120 360 488 NA NA NA NA NA 677 331 596 NA NA NA NA NA 483 168 551 NA NA NA NA NA
1497736800.0 1102.0 NA 101 389 127 65 NA NA NA NA 373 485 205 131 NA NA NA NA 1587 2122 1133 114 NA NA NA NA 485 883 402 67 NA NA NA
1497736800.0 111.0 79 85 372 NA NA NA NA NA 168 360 492 NA NA NA NA NA 3221 324 629 NA NA NA NA NA 1189 183 562 NA NA NA NA NA
1497736800.0 112.0 75 92 367 NA NA NA NA NA 188 360 483 NA NA NA NA NA 3206 496 534 NA NA NA NA NA 1164 223 481 NA NA NA NA NA
1497736800.0 11224.0 73 188 537 0 NA NA NA NA 144 443 695 0 NA NA NA NA 7176 859 3906 773 NA NA NA NA 2495 405 3466 782 NA NA NA NA
1497736800.0 113.0 72 90 366 NA NA NA NA NA 174 355 478 NA NA NA NA NA 3286 581 612 NA NA NA NA NA 1290 238 513 NA NA NA NA NA
1497736800.0 114.0 72 92 370 NA NA NA NA NA 187 360 487 NA NA NA NA NA 3638 679 630 NA NA NA NA NA 1262 271 548 NA NA NA NA NA
1497736800.0 115.0 75 90 370 NA NA NA NA NA 188 360 482 NA NA NA NA NA 3793 598 642 NA NA NA NA NA 1298 223 523 NA NA NA NA NA
1497736800.0 116.0 77 94 379 NA NA NA NA NA 180 354 484 NA NA NA NA NA 3072 272 437 NA NA NA NA NA 1226 141 388 NA NA NA NA NA
1497736800.0 117.0 75 99 379 NA NA NA NA NA 191 360 501 NA NA NA NA NA 3226 303 452 NA NA NA NA NA 1152 162 357 NA NA NA NA NA
1497736800.0 118.0 79 95 385 NA NA NA NA NA 191 360 483 NA NA NA NA NA 3795 294 487 NA NA NA NA NA 1296 146 374 NA NA NA NA NA
1497736800.0 119.0 73 83 367 NA NA NA NA NA 181 360 495 NA NA NA NA NA 2804 528 548 NA NA NA NA NA 1029 203 468 NA NA NA NA NA
1497736800.0 12.0 NA 102 376 0 NA NA NA NA NA 373 497 0 NA NA NA NA NA 1849 2098 433 NA NA NA NA NA 563 951 460 NA NA NA NA
1497736800.0 120.0 53 88 365 NA NA NA NA NA 124 360 487 NA NA NA NA NA 553 340 554 NA NA NA NA NA 440 164 536 NA NA NA NA NA
1497736800.0 121.0 77 101 377 NA NA NA NA NA 169 362 500 NA NA NA NA NA 3329 317 504 NA NA NA NA NA 1267 150 368 NA NA NA NA NA
1497736800.0 122.0 52 78 360 NA NA NA NA NA 122 360 466 NA NA NA NA NA 962 208 535 NA NA NA NA NA 696 133 520 NA NA NA NA NA
1497736800.0 123.1 338 NA NA NA NA NA NA NA 537 NA NA NA NA NA NA NA 1112 NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA
1497736800.0 123.2 340 NA NA NA NA NA NA NA 534 NA NA NA NA NA NA NA 1126 NA NA NA NA NA NA NA 651 NA NA NA NA NA NA NA
1497736800.0 123.3 291 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 679 NA NA NA NA NA NA NA 394 NA NA NA NA NA NA NA
1497736800.0 124.1 323 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 656 NA NA NA NA NA NA NA 381 NA NA NA NA NA NA NA
1497736800.0 124.2 340 NA NA NA NA NA NA NA 534 NA NA NA NA NA NA NA 1185 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA
1497736800.0 124.4 325 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 705 NA NA NA NA NA NA NA 396 NA NA NA NA NA NA NA
1497736800.0 124.5 331 NA NA NA NA NA NA NA 534 NA NA NA NA NA NA NA 805 NA NA NA NA NA NA NA 439 NA NA NA NA NA NA NA
1497736800.0 124.6 292 NA NA NA NA NA NA NA 537 NA NA NA NA NA NA NA 787 NA NA NA NA NA NA NA 439 NA NA NA NA NA NA NA
1497736800.0 125.0 72 90 365 NA NA NA NA NA 173 360 475 NA NA NA NA NA 2908 576 573 NA NA NA NA NA 1159 232 486 NA NA NA NA NA
1497736800.0 126.0 63 79 366 NA NA NA NA NA 127 360 475 NA NA NA NA NA 1416 350 587 NA NA NA NA NA 734 164 537 NA NA NA NA NA
1497736800.0 127.0 56 84 365 NA NA NA NA NA 126 360 470 NA NA NA NA NA 1302 360 592 NA NA NA NA NA 666 162 544 NA NA NA NA NA
1497736800.0 128.0 58 87 363 NA NA NA NA NA 118 360 480 NA NA NA NA NA 521 332 570 NA NA NA NA NA 429 161 526 NA NA NA NA NA
1497736800.0 129.0 57 88 364 NA NA NA NA NA 115 360 489 NA NA NA NA NA 554 345 544 NA NA NA NA NA 445 168 519 NA NA NA NA NA
1497736800.0 13.0 NA 101 376 0 NA NA NA NA NA 372 469 0 NA NA NA NA NA 306 1088 397 NA NA NA NA NA 190 678 463 NA NA NA NA
1497736800.0 130.0 53 87 364 NA NA NA NA NA 116 360 456 NA NA NA NA NA 649 355 554 NA NA NA NA NA 466 172 511 NA NA NA NA NA
1497736800.0 1301.0 85 177 189 NA NA NA NA NA 144 461 299 NA NA NA NA NA 1078 478 337 NA NA NA NA NA 676 403 315 NA NA NA NA NA
1497736800.0 1302.0 85 194 194 NA NA NA NA NA 156 460 312 NA NA NA NA NA 4256 982 597 NA NA NA NA NA 1428 499 465 NA NA NA NA NA
1497736800.0 1303.0 84 196 195 NA NA NA NA NA 153 460 313 NA NA NA NA NA 6488 585 582 NA NA NA NA NA 2321 340 345 NA NA NA NA NA
1497736800.0 1306.0 NA 192 512 0 NA NA NA NA NA 475 624 0 NA NA NA NA NA 395 632 667 NA NA NA NA NA 274 568 677 NA NA NA NA
1497736800.0 1307.0 NA 163 202 52 0 NA NA NA NA 470 290 107 0 NA NA NA NA 408 376 23 219 NA NA NA NA 440 490 28 226 NA NA NA
1497736800.0 1308.0 NA 170 197 55 0 NA NA NA NA 469 289 106 0 NA NA NA NA 585 434 43 280 NA NA NA NA 344 401 59 288 NA NA NA
1497736800.0 1309.0 NA 225 502 0 NA NA NA NA NA 474 648 0 NA NA NA NA NA 527 981 749 NA NA NA NA NA 357 951 767 NA NA NA NA
1497736800.0 131.0 54 90 367 NA NA NA NA NA 125 360 462 NA NA NA NA NA 1432 361 648 NA NA NA NA NA 697 172 598 NA NA NA NA NA
1497736800.0 1310.0 NA 214 527 0 NA NA NA NA NA 473 650 0 NA NA NA NA NA 818 1157 1208 NA NA NA NA NA 442 862 1221 NA NA NA NA
1497736800.0 1311.0 NA 194 519 0 68 NA NA NA NA 472 631 0 123 NA NA NA NA 443 588 777 50 NA NA NA NA 453 711 800 78 NA NA NA
1497736800.0 1312.0 NA 208 527 0 NA NA NA NA NA 475 630 0 NA NA NA NA NA 470 730 720 NA NA NA NA NA 289 554 728 NA NA NA NA
1497736800.0 1313.0 NA 215 530 0 NA NA NA NA NA 474 629 0 NA NA NA NA NA 680 1041 762 NA NA NA NA NA 655 630 772 NA NA NA NA
1497736800.0 1314.0 NA 207 516 0 NA NA NA NA NA 475 631 0 NA NA NA NA NA 800 1435 1077 NA NA NA NA NA 435 1109 1086 NA NA NA NA
1497736800.0 1315.0 NA 193 517 0 NA NA NA NA NA 473 620 0 NA NA NA NA NA 401 605 690 NA NA NA NA NA 443 539 702 NA NA NA NA
1497736800.0 1316.0 NA 193 512 0 NA NA NA NA NA 474 623 0 NA NA NA NA NA 773 1184 1019 NA NA NA NA NA 473 974 1026 NA NA NA NA
1497736800.0 1317.0 NA 198 517 0 NA NA NA NA NA 473 635 0 NA NA NA NA NA 443 645 678 NA NA NA NA NA 457 546 696 NA NA NA NA
