Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498554000.0 10.0 NA 100 381 0 NA NA NA NA 382 489 0 NA NA NA NA 2031 2140 374 NA NA NA NA 698 865 386 NA NA NA
1498554000.0 10024.1 NA 184 352 0 NA NA NA NA 452 492 0 NA NA NA NA 532 461 413 NA NA NA NA 301 703 426 NA NA NA
1498554000.0 10025.0 NA 185 527 91 0 NA NA NA 452 682 149 0 NA NA NA 707 3426 123 847 NA NA NA 749 3450 318 868 NA NA
1498554000.0 1004.0 NA 372 357 0 0 0 0 NA 495 446 0 0 0 0 NA 546 285 4 20 246 245 NA 455 316 10 36 247 244
1498554000.0 10224.0 NA 299 636 0 NA NA NA NA 474 995 0 NA NA NA NA 2736 6154 798 NA NA NA NA 3294 4473 808 NA NA NA
1498554000.0 10225.0 NA 272 753 0 NA NA NA NA 479 973 0 NA NA NA NA 2578 6323 828 NA NA NA NA 3597 4933 847 NA NA NA
1498554000.0 107.0 77 93 372 NA NA NA NA 178 361 493 NA NA NA NA 5379 321 527 NA NA NA NA 1802 155 435 NA NA NA NA
1498554000.0 10826.0 75 197 543 98 0 NA NA 144 444 700 150 0 NA NA 8734 646 3755 94 739 NA NA 3376 362 3194 135 752 NA NA
1498554000.0 10842.0 64 171 519 97 0 NA NA 120 442 685 150 0 NA NA 1144 285 2299 69 512 NA NA 678 231 2294 109 528 NA NA
1498554000.0 113.0 75 86 366 NA NA NA NA 179 360 492 NA NA NA NA 5573 317 507 NA NA NA NA 1853 155 445 NA NA NA NA
1498554000.0 114.0 78 96 369 NA NA NA NA 182 360 487 NA NA NA NA 5118 411 564 NA NA NA NA 1694 247 471 NA NA NA NA
1498554000.0 118.0 78 98 374 NA NA NA NA 189 361 482 NA NA NA NA 6483 331 665 NA NA NA NA 1991 157 503 NA NA NA NA
1498554000.0 121.0 74 90 374 NA NA NA NA 170 361 497 NA NA NA NA 5688 366 627 NA NA NA NA 2038 177 494 NA NA NA NA
1498554000.0 1302.0 87 189 204 NA NA NA NA 156 464 305 NA NA NA NA 4877 704 528 NA NA NA NA 1817 440 436 NA NA NA NA
1498554000.0 1309.0 NA 212 502 0 NA NA NA NA 476 638 0 NA NA NA NA 892 1298 881 NA NA NA NA 587 4233 901 NA NA NA
1498554000.0 1312.0 NA 211 518 0 NA NA NA NA 475 637 0 NA NA NA NA 563 940 852 NA NA NA NA 352 752 862 NA NA NA
1498554000.0 1316.0 NA 193 517 0 NA NA NA NA 475 636 0 NA NA NA NA 606 667 731 NA NA NA NA 669 567 760 NA NA NA
1498554000.0 1319.0 NA 192 511 0 NA NA NA NA 473 615 0 NA NA NA NA 514 619 724 NA NA NA NA 294 538 736 NA NA NA
1498554000.0 132.0 72 90 375 NA NA NA NA 172 360 482 NA NA NA NA 5159 305 609 NA NA NA NA 1708 167 463 NA NA NA NA
1498554000.0 1322.0 NA 191 481 0 NA NA NA NA 475 621 0 NA NA NA NA 738 1026 837 NA NA NA NA 514 3847 860 NA NA NA
1498554000.0 1325.1 NA 216 304 0 NA NA NA NA 476 387 0 NA NA NA NA 668 402 353 NA NA NA NA 383 352 362 NA NA NA
1498554000.0 1325.2 NA 218 529 0 NA NA NA NA 472 638 0 NA NA NA NA 712 1062 953 NA NA NA NA 433 761 967 NA NA NA
1498554000.0 1325.3 NA 214 289 0 NA NA NA NA 475 362 0 NA NA NA NA 853 396 345 NA NA NA NA 933 358 354 NA NA NA
1498554000.0 1325.4 NA 222 520 0 NA NA NA NA 475 643 0 NA NA NA NA 781 1580 855 NA NA NA NA 525 4440 870 NA NA NA
1498554000.0 1329.0 NA 210 518 0 NA NA NA NA 475 629 0 NA NA NA NA 459 707 777 NA NA NA NA 281 578 787 NA NA NA
1498554000.0 1330.0 NA 206 520 0 NA NA NA NA 476 619 0 NA NA NA NA 474 736 761 NA NA NA NA 482 768 772 NA NA NA
1498554000.0 1331.0 NA 202 513 0 NA NA NA NA 473 626 0 NA NA NA NA 636 1125 836 NA NA NA NA 521 3440 852 NA NA NA
1498554000.0 1332.0 NA 213 516 0 NA NA NA NA 475 626 0 NA NA NA NA 682 1211 844 NA NA NA NA 523 3443 860 NA NA NA
1498554000.0 1333.0 NA 201 504 0 NA NA NA NA 474 643 0 NA NA NA NA 742 1029 848 NA NA NA NA 525 3475 864 NA NA NA
