Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1498550514,NA,19441,1,2,0,6,davignon,NNNNNPNNNNPNNNNPN,1498553340,CMSSW_9_3_X
1498551421,NA,19442,1,7,0,7,ianna,PNPNNNNNNNNNNPNAN,1498556847,CMSSW_9_3_X
1498552126,NA,19443,1,4,0,5,bendavid,NNNNNNNNPNNNNNNSN,1498555549,CMSSW_7_1_X
1498554169,NA,19444,1,3,0,5,silviodonato,NNNNNNNNNNNNNNNSN,1498556000,CMSSW_9_3_X
1498554280,NA,19445,1,3,0,7,silviodonato,PNNNNNNNNNNNNNNSN,1498556075,CMSSW_9_2_X
