Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497949200.0 1.0 73 86 134 NA NA NA NA NA 163 360 220 NA NA NA NA NA 2182 424 230 NA NA NA NA NA 1014 236 215 NA NA NA NA NA
1497949200.0 10.0 NA 107 379 0 NA NA NA NA NA 373 497 0 NA NA NA NA NA 1617 1594 357 NA NA NA NA NA 556 664 363 NA NA NA NA
1497949200.0 1000.0 NA 396 139 0 52 NA NA NA NA 514 216 0 104 NA NA NA NA 1624 399 347 94 NA NA NA NA 721 268 355 118 NA NA NA
1497949200.0 10001.0 NA 162 545 97 0 NA NA NA NA 447 707 149 0 NA NA NA NA 404 732 78 521 NA NA NA NA 242 711 118 535 NA NA NA
1497949200.0 10002.0 NA 173 542 88 0 NA NA NA NA 446 709 149 0 NA NA NA NA 502 745 79 663 NA NA NA NA 326 716 118 687 NA NA NA
1497949200.0 10003.0 NA 169 543 97 0 NA NA NA NA 446 710 149 0 NA NA NA NA 554 1000 103 705 NA NA NA NA 348 915 151 714 NA NA NA
1497949200.0 10004.0 NA 166 539 92 0 NA NA NA NA 446 708 149 0 NA NA NA NA 519 928 96 729 NA NA NA NA 315 885 136 739 NA NA NA
1497949200.0 10005.0 NA 166 535 97 0 NA NA NA NA 444 704 149 0 NA NA NA NA 425 842 77 512 NA NA NA NA 268 1279 159 521 NA NA NA
1497949200.0 10006.0 NA 169 540 97 0 NA NA NA NA 446 702 149 0 NA NA NA NA 826 1033 115 770 NA NA NA NA 447 998 170 783 NA NA NA
1497949200.0 10007.0 NA 165 542 98 0 NA NA NA NA 445 709 150 0 NA NA NA NA 633 1002 101 730 NA NA NA NA 375 911 152 772 NA NA NA
