Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1498341600.0 1308.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 1317.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 1328.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 134.702 NA 101 196 0 NA 162 262 0 NA 1275 4786 592 NA 1569 5089 620
1498341600.0 134.706 NA 102 203 0 NA 162 268 0 NA 1553 5171 631 NA 1835 5469 666
1498341600.0 134.707 NA 103 196 0 NA 164 260 0 NA 1304 4551 590 NA 1594 4825 605
1498341600.0 134.708 NA 103 199 0 NA 166 263 0 NA 1275 4361 586 NA 1565 4645 609
1498341600.0 134.802 NA 112 202 0 NA 167 266 0 NA 1799 6389 599 NA 2113 7001 622
1498341600.0 134.803 NA 108 199 0 NA 169 266 0 NA 1582 5562 583 NA 1878 5782 631
1498341600.0 134.804 NA 114 212 0 NA 168 276 0 NA 1819 6369 581 NA 2128 6961 604
1498341600.0 134.805 NA 116 210 0 NA 172 272 0 NA 1965 6252 580 NA 2037 6646 587
1498341600.0 134.806 NA 116 211 0 NA 169 275 0 NA 2202 6963 579 NA 2508 7414 604
1498341600.0 134.807 NA 135 218 0 NA 207 286 0 NA 2465 6567 677 NA 2785 8043 698
1498341600.0 134.808 NA 142 219 0 NA 205 286 0 NA 2342 6784 622 NA 2661 8272 644
1498341600.0 1341.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 1348.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 135.5 181 0 96 NA 245 0 141 NA 612 138 207 NA 947 153 241 NA
1498341600.0 1355.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 25202.0 NA 164 268 0 NA 228 357 0 NA 2243 3246 970 NA 2740 3818 1001
1498341600.0 25206.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 4.55 NA 26 197 0 NA 67 255 0 NA 118 6475 535 NA 137 6751 572
1498341600.0 4.65 NA 27 197 0 NA 67 264 0 NA 130 8159 522 NA 168 8601 562
1498341600.0 500202.0 NA 161 235 0 NA 219 304 0 NA 7001 2292 965 NA 8160 2621 983
1498341600.0 50205.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1498341600.0 526.0 14 34 0 NA 114 63 0 NA 14 47 18 NA 5076 73 58 NA
1498341600.0 529.0 14 34 0 NA 114 63 0 NA 24 47 19 NA 5091 70 59 NA
