Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497387600.0 1.0 80 88 134 NA NA NA NA NA 153 365 210 NA NA NA NA NA 1877 317 207 NA NA NA NA NA 808 153 194 NA NA NA NA NA
1497387600.0 10.0 NA 108 396 0 NA NA NA NA NA 378 496 0 NA NA NA NA NA 1682 1573 365 NA NA NA NA NA 551 866 424 NA NA NA NA
1497387600.0 1000.0 NA 401 129 0 50 NA NA NA NA 507 198 0 90 NA NA NA NA 2487 613 741 119 NA NA NA NA 1132 552 801 232 NA NA NA
1497387600.0 10001.0 NA 159 569 86 0 NA NA NA NA 438 725 134 0 NA NA NA NA 422 855 71 873 NA NA NA NA 319 814 131 886 NA NA NA
1497387600.0 10002.0 NA 172 577 92 0 NA NA NA NA 449 734 134 0 NA NA NA NA 385 693 65 701 NA NA NA NA 215 655 107 719 NA NA NA
1497387600.0 10003.0 NA 173 571 86 0 NA NA NA NA 451 731 134 0 NA NA NA NA 390 761 65 688 NA NA NA NA 242 1171 142 698 NA NA NA
1497387600.0 10004.0 NA 158 573 85 0 NA NA NA NA 435 728 134 0 NA NA NA NA 552 877 75 930 NA NA NA NA 523 872 295 954 NA NA NA
1497387600.0 10005.0 NA 161 573 91 0 NA NA NA NA 441 730 134 0 NA NA NA NA 359 678 61 662 NA NA NA NA 395 653 86 669 NA NA NA
1497387600.0 10006.0 NA 157 570 86 0 NA NA NA NA 441 726 134 0 NA NA NA NA 396 852 82 751 NA NA NA NA 254 850 138 762 NA NA NA
1497387600.0 10007.0 NA 161 535 94 0 NA NA NA NA 438 692 134 0 NA NA NA NA 373 823 81 666 NA NA NA NA 239 1384 151 694 NA NA NA
