Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498341600.0 10025.0 173 551 93 0 444 714 149 0 446 817 76 583 473 759 118 593
1498341600.0 1317.0 194 538 0 NA 468 641 0 NA 477 770 809 NA 359 660 827 NA
1498341600.0 1344.0 213 537 0 NA 467 650 0 NA 833 1353 1650 NA 549 983 2085 NA
1498341600.0 4.57 61 399 0 NA 117 488 0 NA 214 8372 458 NA 147 3720 477 NA
1498341600.0 4.76 66 400 0 NA 121 487 0 NA 197 8042 450 NA 141 3613 466 NA
1498341600.0 4.77 59 400 0 NA 116 488 0 NA 189 8262 442 NA 143 3675 463 NA
