Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1498294800.0 1.0 78 89 143 NA NA NA NA NA 163 359 222 NA NA NA NA NA 1577 281 182 NA NA NA NA NA 677 129 170 NA NA NA NA NA
1498294800.0 10.0 NA 97 378 0 NA NA NA NA NA 373 491 0 NA NA NA NA NA 1662 1889 366 NA NA NA NA NA 535 810 384 NA NA NA NA
1498294800.0 1000.0 NA 392 130 0 52 NA NA NA NA 511 217 0 104 NA NA NA NA 1759 430 393 107 NA NA NA NA 826 272 426 114 NA NA NA
1498294800.0 10001.0 NA 162 NA NA NA NA NA NA NA 457 NA NA NA NA NA NA NA 770 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA
1498294800.0 10002.0 NA 159 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA 627 NA NA NA NA NA NA NA 355 NA NA NA NA NA NA
1498294800.0 10003.0 NA 165 546 97 0 NA NA NA NA 445 705 149 0 NA NA NA NA 549 865 85 576 NA NA NA NA 316 808 145 601 NA NA NA
1498294800.0 10004.0 NA 168 546 97 0 NA NA NA NA 438 704 149 0 NA NA NA NA 452 803 92 581 NA NA NA NA 257 800 209 607 NA NA NA
1498294800.0 10005.0 NA 161 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA NA 378 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA
1498294800.0 10006.0 NA 166 544 97 0 NA NA NA NA 444 701 149 0 NA NA NA NA 342 612 61 443 NA NA NA NA 228 606 101 466 NA NA NA
1498294800.0 10007.0 NA 159 539 94 0 NA NA NA NA 446 708 149 0 NA NA NA NA 706 1215 110 734 NA NA NA NA 396 1088 148 744 NA NA NA
1498294800.0 10008.0 NA 161 543 97 0 NA NA NA NA 446 709 149 0 NA NA NA NA 388 650 67 458 NA NA NA NA 239 602 93 466 NA NA NA
1498294800.0 10009.0 NA 161 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA NA 671 NA NA NA NA NA NA NA 360 NA NA NA NA NA NA
1498294800.0 1001.0 NA 366 378 0 0 0 0 0 NA 478 464 0 0 0 0 0 NA 1503 553 5 20 389 24 458 NA 695 486 17 30 402 27 467
1498294800.0 1002.0 NA 363 69 NA NA NA NA NA NA 460 125 NA NA NA NA NA NA 1536 140 NA NA NA NA NA NA 698 83 NA NA NA NA NA
1498294800.0 10023.0 NA 160 545 96 0 NA NA NA NA 447 705 149 0 NA NA NA NA 345 653 68 458 NA NA NA NA 218 628 102 478 NA NA NA
1498294800.0 10024.0 NA 184 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA 478 NA NA NA NA NA NA NA 505 NA NA NA NA NA NA
1498294800.0 10024.1 NA 180 370 0 NA NA NA NA NA 445 491 0 NA NA NA NA NA 431 355 354 NA NA NA NA NA 458 350 361 NA NA NA NA
1498294800.0 10024.2 NA 178 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA 934 NA NA NA NA NA NA NA 485 NA NA NA NA NA NA
1498294800.0 10024.3 NA 181 330 0 NA NA NA NA NA 454 446 0 NA NA NA NA NA 452 343 302 NA NA NA NA NA 273 324 307 NA NA NA NA
1498294800.0 10024.4 NA 175 570 0 NA NA NA NA NA 443 730 0 NA NA NA NA NA 474 905 547 NA NA NA NA NA 264 894 556 NA NA NA NA
1498294800.0 10024.5 NA 181 378 0 NA NA NA NA NA 447 502 0 NA NA NA NA NA 418 348 348 NA NA NA NA NA 235 316 354 NA NA NA NA
1498294800.0 10024.6 NA 187 550 0 NA NA NA NA NA 444 714 0 NA NA NA NA NA 741 1264 682 NA NA NA NA NA 370 967 691 NA NA NA NA
1498294800.0 10025.0 NA 169 552 97 0 NA NA NA NA 446 709 149 0 NA NA NA NA 707 748 79 550 NA NA NA NA 698 674 116 575 NA NA NA
1498294800.0 10026.0 NA 185 566 98 0 NA NA NA NA 443 703 150 0 NA NA NA NA 490 1112 67 534 NA NA NA NA 308 729 107 548 NA NA NA
1498294800.0 1003.0 NA 299 0 NA NA NA NA NA NA 415 0 NA NA NA NA NA NA 2056 259 NA NA NA NA NA NA 816 276 NA NA NA NA NA
1498294800.0 1004.0 NA 337 360 0 0 0 0 NA NA 445 446 0 0 0 0 NA NA 483 391 5 20 441 422 NA NA 378 389 10 24 470 426 NA
1498294800.0 10042.0 NA 168 547 89 0 NA NA NA NA 446 702 150 0 NA NA NA NA 771 1368 108 850 NA NA NA NA 424 1159 153 864 NA NA NA
1498294800.0 10059.0 NA 185 564 93 0 NA NA NA NA 446 737 150 0 NA NA NA NA 949 2319 120 847 NA NA NA NA 457 1333 157 857 NA NA NA
1498294800.0 10071.0 NA 190 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA 449 NA NA NA NA NA NA NA 267 NA NA NA NA NA NA
1498294800.0 101.0 83 NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA 732 NA NA NA NA NA NA NA 752 NA NA NA NA NA NA NA
1498294800.0 1010.0 NA 80 40 0 NA NA NA NA NA 150 90 0 NA NA NA NA NA 68 16 18 NA NA NA NA NA 74 40 26 NA NA NA NA
1498294800.0 102.0 83 NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA 553 NA NA NA NA NA NA NA 578 NA NA NA NA NA NA NA
1498294800.0 1020.0 NA 36 NA NA NA NA NA NA NA 123 NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA 53 NA NA NA NA NA NA
1498294800.0 10224.0 NA 280 825 0 NA NA NA NA NA 475 1015 0 NA NA NA NA NA 3530 4876 1040 NA NA NA NA NA 1573 2326 1054 NA NA NA NA
1498294800.0 10225.0 NA 278 NA NA NA NA NA NA NA 463 NA NA NA NA NA NA NA 2327 NA NA NA NA NA NA NA 1335 NA NA NA NA NA NA
1498294800.0 103.0 36 0 0 NA NA NA NA NA 95 0 0 NA NA NA NA NA 620 86 203 NA NA NA NA NA 330 71 209 NA NA NA NA NA
1498294800.0 10424.0 NA 176 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA 760 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA
1498294800.0 105.0 72 88 29 NA NA NA NA NA 171 360 78 NA NA NA NA NA 1876 248 2 NA NA NA NA NA 752 118 13 NA NA NA NA NA
1498294800.0 106.0 36 0 0 NA NA NA NA NA 95 0 0 NA NA NA NA NA 601 86 200 NA NA NA NA NA 318 42 247 NA NA NA NA NA
1498294800.0 107.0 82 90 366 NA NA NA NA NA 179 361 497 NA NA NA NA NA 3449 293 429 NA NA NA NA NA 1150 147 397 NA NA NA NA NA
1498294800.0 108.0 81 97 382 NA NA NA NA NA 173 361 495 NA NA NA NA NA 3746 343 463 NA NA NA NA NA 1264 144 348 NA NA NA NA NA
1498294800.0 10823.0 64 157 544 97 0 NA NA NA 130 437 709 149 0 NA NA NA 3519 679 1252 100 785 NA NA NA 1774 351 1167 136 796 NA NA NA
1498294800.0 10824.0 79 178 NA NA NA NA NA NA 142 438 NA NA NA NA NA NA 9966 735 NA NA NA NA NA NA 3935 349 NA NA NA NA NA NA
1498294800.0 10825.0 75 173 NA NA NA NA NA NA 136 439 NA NA NA NA NA NA 7180 630 NA NA NA NA NA NA 3274 333 NA NA NA NA NA NA
1498294800.0 10826.0 82 190 572 97 0 NA NA NA 143 437 723 150 0 NA NA NA 6896 554 1239 83 643 NA NA NA 2305 331 991 130 677 NA NA NA
1498294800.0 10842.0 57 155 536 92 0 NA NA NA 121 438 707 149 0 NA NA NA 2028 473 1083 108 758 NA NA NA 1141 318 1046 153 766 NA NA NA
1498294800.0 109.0 84 97 376 NA NA NA NA NA 173 360 481 NA NA NA NA NA 4275 411 487 NA NA NA NA NA 1462 180 347 NA NA NA NA NA
1498294800.0 11.0 NA 99 466 0 63 NA NA NA NA 373 586 0 114 NA NA NA NA 1349 865 398 20 NA NA NA NA 411 587 410 20 NA NA NA
1498294800.0 110.0 60 90 368 NA NA NA NA NA 120 360 471 NA NA NA NA NA 770 263 365 NA NA NA NA NA 366 146 333 NA NA NA NA NA
1498294800.0 1102.0 NA 107 389 128 66 NA NA NA NA 373 494 206 133 NA NA NA NA 1572 2021 1100 111 NA NA NA NA 507 781 460 74 NA NA NA
1498294800.0 111.0 87 89 366 NA NA NA NA NA 168 360 493 NA NA NA NA NA 2201 218 420 NA NA NA NA NA 802 123 372 NA NA NA NA NA
1498294800.0 112.0 80 94 366 NA NA NA NA NA 176 360 486 NA NA NA NA NA 3045 296 442 NA NA NA NA NA 1112 135 373 NA NA NA NA NA
