Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498467600.0 10001.0 NA 169 552 95 0 NA 450 670 133 0 NA 501 1007 100 788 NA 343 959 173 1250
1498467600.0 10002.0 NA 164 549 92 0 NA 438 702 133 0 NA 519 929 91 732 NA 335 895 129 743
1498467600.0 10003.0 NA 171 556 88 0 NA 442 697 133 0 NA 587 1137 121 813 NA 359 1059 192 823
1498467600.0 10005.0 NA 166 555 95 0 NA 442 701 133 0 NA 524 921 88 743 NA 338 895 131 764
1498467600.0 10006.0 NA 159 553 96 0 NA 444 702 133 0 NA 529 1037 106 781 NA 373 1034 146 795
1498467600.0 10007.0 NA 161 554 97 0 NA 446 705 134 0 NA 777 1130 100 810 NA 424 1310 165 836
1498467600.0 10008.0 NA 168 556 96 0 NA 442 698 134 0 NA 529 988 99 740 NA 315 963 163 780
1498467600.0 10009.0 NA 162 552 96 0 NA 444 704 133 0 NA 685 998 88 726 NA 387 927 142 738
1498467600.0 1002.0 NA 369 69 NA NA NA 459 107 NA NA NA 2360 148 NA NA NA 1047 113 NA NA
1498467600.0 10023.0 NA 169 457 87 0 NA 442 704 133 0 NA 491 1232 97 725 NA 315 2430 157 751
1498467600.0 10024.0 NA 186 569 96 0 NA 439 721 134 0 NA 662 1359 116 874 NA 384 1103 168 893
1498467600.0 10024.3 NA 183 326 0 NA NA 436 465 0 NA NA 579 525 473 NA NA 339 477 480 NA
1498467600.0 10024.6 NA 180 560 0 NA NA 443 714 0 NA NA 598 1168 838 NA NA 375 947 905 NA
1498467600.0 10026.0 NA 195 581 88 0 NA 443 711 135 0 NA 666 1905 119 938 NA 548 1190 172 971
1498467600.0 10042.0 NA 172 561 97 0 NA 442 711 134 0 NA 624 1247 113 899 NA 386 1080 182 920
1498467600.0 10071.0 NA 190 574 92 0 NA 451 721 134 0 NA 697 1623 106 886 NA 405 1205 150 901
1498467600.0 10224.0 NA 288 804 0 NA NA 459 997 0 NA NA 2929 3904 868 NA NA 1938 1999 906 NA
1498467600.0 10225.0 NA 280 742 0 NA NA 481 1011 0 NA NA 3019 3850 873 NA NA 1568 2103 886 NA
1498467600.0 10823.0 76 161 514 86 0 120 434 702 133 0 2503 531 1206 99 747 1080 318 2447 163 757
1498467600.0 10824.0 86 190 572 98 0 131 442 721 135 0 6472 634 1231 87 788 2257 365 936 124 804
1498467600.0 10825.0 77 184 532 96 0 126 433 712 134 0 5308 631 1351 125 799 1940 423 1496 907 816
1498467600.0 10826.0 80 182 575 97 0 133 433 728 134 0 10677 693 1915 99 830 3455 372 1197 155 839
1498467600.0 10842.0 67 158 553 97 0 108 442 696 134 0 2203 392 1080 110 802 1011 313 1126 191 831
1498467600.0 109.0 93 97 382 NA NA 152 358 479 NA NA 7628 418 784 NA NA 2733 197 595 NA NA
1498467600.0 110.0 58 90 362 NA NA 110 365 461 NA NA 1038 411 615 NA NA 492 187 599 NA NA
1498467600.0 111.0 90 84 369 NA NA 154 366 446 NA NA 3382 293 587 NA NA 1144 152 602 NA NA
1498467600.0 11224.0 79 185 566 0 NA 133 432 716 0 NA 6823 629 1501 840 NA 2215 386 1158 1440 NA
1498467600.0 122.0 55 85 356 NA NA 113 365 448 NA NA 1226 225 563 NA NA 782 139 537 NA NA
1498467600.0 126.0 61 86 365 NA NA 116 358 462 NA NA 1856 360 599 NA NA 703 165 544 NA NA
1498467600.0 127.0 65 85 359 NA NA 116 358 459 NA NA 1636 354 593 NA NA 635 165 535 NA NA
1498467600.0 130.0 59 80 364 NA NA 106 365 448 NA NA 1003 358 587 NA NA 472 164 548 NA NA
1498467600.0 1302.0 91 188 197 NA NA 146 459 284 NA NA 6519 951 818 NA NA 2089 631 599 NA NA
1498467600.0 1303.0 86 190 215 NA NA 145 464 277 NA NA 11077 807 874 NA NA 3922 676 517 NA NA
1498467600.0 1306.0 NA 196 535 0 NA NA 469 634 0 NA NA 597 1054 1189 NA NA 389 908 1204 NA
1498467600.0 1308.0 NA 171 208 56 0 NA 469 274 93 0 NA 512 495 42 339 NA 561 736 59 362
1498467600.0 1309.0 NA 228 563 0 NA NA 473 656 0 NA NA 900 1481 1370 NA NA 605 1064 1547 NA
1498467600.0 131.0 68 82 361 NA NA 114 358 458 NA NA 1758 369 604 NA NA 725 179 544 NA NA
1498467600.0 1311.0 NA 194 546 0 71 NA 465 658 0 108 NA 548 917 1194 65 NA 352 812 1211 112
1498467600.0 1313.0 NA 219 555 0 NA NA 472 656 0 NA NA 844 1764 1150 NA NA 488 1004 1351 NA
1498467600.0 1314.0 NA 210 548 0 NA NA 461 648 0 NA NA 655 1180 1214 NA NA 460 911 1265 NA
1498467600.0 1316.0 NA 194 538 0 NA NA 476 645 0 NA NA 653 1123 1206 NA NA 440 931 1219 NA
1498467600.0 1318.0 NA 190 459 0 NA NA 470 635 0 NA NA 564 1188 1055 NA NA 351 2290 1981 NA
1498467600.0 1319.0 NA 195 542 0 NA NA 469 650 0 NA NA 548 897 1034 NA NA 404 770 1049 NA
1498467600.0 1320.0 NA 187 538 0 NA NA 461 652 0 NA NA 640 952 1080 NA NA 404 793 1105 NA
1498467600.0 1321.0 NA 191 537 0 NA NA 469 629 0 NA NA 686 1122 1162 NA NA 439 936 1180 NA
1498467600.0 1325.0 NA 220 562 0 84 NA 459 648 0 125 NA 691 1156 1068 119 NA 413 821 1078 164
1498467600.0 1325.2 NA 215 565 0 NA NA 469 654 0 NA NA 855 1393 1310 NA NA 507 1012 1323 NA
1498467600.0 1325.4 NA 220 560 0 NA NA 468 657 0 NA NA 711 1230 1081 NA NA 487 1114 1100 NA
1498467600.0 1326.0 NA 209 544 0 NA NA 469 649 0 NA NA 665 1062 1171 NA NA 435 1105 1298 NA
1498467600.0 1327.0 NA 210 548 0 NA NA 462 655 0 NA NA 793 1173 1248 NA NA 517 953 1308 NA
1498467600.0 1328.0 NA 218 557 0 NA NA 475 644 0 NA NA 822 1360 1398 NA NA 506 1053 1413 NA
1498467600.0 1329.0 NA 201 557 0 NA NA 466 641 0 NA NA 921 1184 1276 NA NA 546 972 1289 NA
1498467600.0 1330.0 NA 204 553 0 NA NA 468 635 0 NA NA 725 1206 1297 NA NA 460 920 1308 NA
1498467600.0 1334.0 NA 208 546 0 NA NA 463 642 0 NA NA 688 1232 1318 NA NA 430 1013 1343 NA
1498467600.0 1336.0 NA 222 558 0 NA NA 468 661 0 NA NA 1157 2257 1144 NA NA 539 1147 1167 NA
1498467600.0 1337.0 NA 228 572 0 NA NA 468 668 0 NA NA 992 1732 1195 NA NA 557 1096 1221 NA
1498467600.0 1338.0 NA 223 569 0 NA NA 464 664 0 NA NA 884 1438 1364 NA NA 513 1029 1395 NA
1498467600.0 1339.0 NA 221 565 0 NA NA 465 660 0 NA NA 1133 1774 1290 NA NA 702 1340 1310 NA
1498467600.0 134.704 NA 36 415 0 NA NA 89 495 0 NA NA 148 5704 526 NA NA 97 2317 570 NA
1498467600.0 134.807 NA 84 463 0 NA NA 161 552 0 NA NA 652 8332 554 NA NA 396 4485 587 NA
1498467600.0 134.808 NA 90 462 0 NA NA 163 557 0 NA NA 767 8008 522 NA NA 645 3026 530 NA
1498467600.0 134.813 NA 181 69 0 NA NA 266 114 0 NA NA 754 73 157 NA NA 459 72 168 NA
1498467600.0 134.907 NA 87 448 0 NA NA 157 540 0 NA NA 416 5714 510 NA NA 330 2298 521 NA
1498467600.0 134.911 NA 40 425 0 NA NA 89 498 0 NA NA 151 4868 492 NA NA 134 1732 504 NA
1498467600.0 134.99601 NA 40 427 0 NA NA 92 506 0 NA NA 173 8347 563 NA NA 117 2638 579 NA
1498467600.0 1341.0 NA 221 561 0 NA NA 462 672 0 NA NA 848 1548 1295 NA NA 499 1172 1349 NA
1498467600.0 1347.0 NA 212 555 0 NA NA 474 650 0 NA NA 735 1242 1283 NA NA 464 948 1298 NA
1498467600.0 1348.0 NA 202 549 0 NA NA 469 658 0 NA NA 616 1047 1161 NA NA 392 870 1199 NA
1498467600.0 1349.0 NA 210 555 0 NA NA 467 647 0 NA NA 688 1227 1228 NA NA 435 1020 1241 NA
1498467600.0 135.1 361 0 102 NA NA 515 0 153 NA NA 875 224 201 NA NA 485 234 207 NA NA
1498467600.0 135.12 364 0 101 NA NA 514 0 154 NA NA 744 208 186 NA NA 464 224 202 NA NA
1498467600.0 135.2 296 0 100 NA NA 514 0 151 NA NA 588 155 173 NA NA 402 162 201 NA NA
1498467600.0 135.3 297 0 106 NA NA 513 0 153 NA NA 619 150 167 NA NA 405 159 203 NA NA
