Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498424400.0 111.0 90 93 376 NA NA NA NA 159 365 476 NA NA NA NA 2219 225 383 NA NA NA NA 826 189 434 NA NA NA NA
1498424400.0 11224.0 80 181 570 0 NA NA NA 133 431 716 0 NA NA NA 4182 444 851 497 NA NA NA 1628 383 671 516 NA NA NA
1498424400.0 113.0 80 85 374 NA NA NA NA 165 365 463 NA NA NA NA 3172 300 453 NA NA NA NA 1103 138 380 NA NA NA NA
1498424400.0 116.0 80 90 365 NA NA NA NA 159 358 462 NA NA NA NA 3105 284 448 NA NA NA NA 1291 149 379 NA NA NA NA
1498424400.0 117.0 81 98 370 NA NA NA NA 164 365 458 NA NA NA NA 3819 283 509 NA NA NA NA 1290 141 387 NA NA NA NA
1498424400.0 12.0 NA 105 375 0 NA NA NA NA 370 476 0 NA NA NA NA 1454 1497 360 NA NA NA NA 557 644 373 NA NA NA
1498424400.0 121.0 82 98 372 NA NA NA NA 154 365 482 NA NA NA NA 3881 294 564 NA NA NA NA 1270 150 442 NA NA NA NA
1498424400.0 122.0 52 74 349 NA NA NA NA 110 365 458 NA NA NA NA 1703 308 578 NA NA NA NA 875 169 540 NA NA NA NA
1498424400.0 123.1 335 NA NA NA NA NA NA 495 NA NA NA NA NA NA 1076 NA NA NA NA NA NA 512 NA NA NA NA NA NA
1498424400.0 123.2 336 NA NA NA NA NA NA 496 NA NA NA NA NA NA 1066 NA NA NA NA NA NA 502 NA NA NA NA NA NA
1498424400.0 123.3 277 NA NA NA NA NA NA 495 NA NA NA NA NA NA 635 NA NA NA NA NA NA 423 NA NA NA NA NA NA
1498424400.0 124.1 326 NA NA NA NA NA NA 488 NA NA NA NA NA NA 638 NA NA NA NA NA NA 414 NA NA NA NA NA NA
1498424400.0 124.2 339 NA NA NA NA NA NA 496 NA NA NA NA NA NA 965 NA NA NA NA NA NA 458 NA NA NA NA NA NA
1498424400.0 124.4 323 NA NA NA NA NA NA 495 NA NA NA NA NA NA 662 NA NA NA NA NA NA 418 NA NA NA NA NA NA
1498424400.0 124.5 324 NA NA NA NA NA NA 495 NA NA NA NA NA NA 561 NA NA NA NA NA NA 399 NA NA NA NA NA NA
1498424400.0 124.6 275 NA NA NA NA NA NA 503 NA NA NA NA NA NA 649 NA NA NA NA NA NA 394 NA NA NA NA NA NA
1498424400.0 125.0 83 92 366 NA NA NA NA 158 358 477 NA NA NA NA 2807 274 439 NA NA NA NA 958 138 449 NA NA NA NA
1498424400.0 126.0 63 79 358 NA NA NA NA 128 365 460 NA NA NA NA 2358 493 609 NA NA NA NA 926 229 544 NA NA NA NA
1498424400.0 127.0 59 80 356 NA NA NA NA 118 365 472 NA NA NA NA 2088 414 701 NA NA NA NA 813 182 644 NA NA NA NA
1498424400.0 128.0 57 78 360 NA NA NA NA 110 358 468 NA NA NA NA 1235 467 568 NA NA NA NA 600 199 531 NA NA NA NA
1498424400.0 129.0 56 77 357 NA NA NA NA 106 365 454 NA NA NA NA 1179 470 557 NA NA NA NA 562 205 520 NA NA NA NA
1498424400.0 13.0 NA 91 364 0 NA NA NA NA 378 468 0 NA NA NA NA 374 1234 429 NA NA NA NA 203 734 436 NA NA NA
1498424400.0 1301.0 77 165 195 NA NA NA NA 135 459 271 NA NA NA NA 1524 480 326 NA NA NA NA 725 291 302 NA NA NA NA
1498424400.0 1303.0 93 189 214 NA NA NA NA 145 450 298 NA NA NA NA 7003 586 531 NA NA NA NA 2530 330 367 NA NA NA NA
1498424400.0 1307.0 NA 170 204 56 0 NA NA NA 457 276 93 0 NA NA NA 404 387 23 263 NA NA NA 261 335 39 281 NA NA
1498424400.0 1308.0 NA 165 203 56 0 NA NA NA 466 288 93 0 NA NA NA 358 308 23 255 NA NA NA 231 275 36 265 NA NA
1498424400.0 1309.0 NA 225 564 0 NA NA NA NA 468 660 0 NA NA NA NA 608 934 926 NA NA NA NA 574 639 2222 NA NA NA
1498424400.0 131.0 59 79 359 NA NA NA NA 114 365 454 NA NA NA NA 2274 472 593 NA NA NA NA 878 207 533 NA NA NA NA
1498424400.0 1310.0 NA 214 539 0 NA NA NA NA 470 667 0 NA NA NA NA 512 875 898 NA NA NA NA 322 3564 911 NA NA NA
1498424400.0 1313.0 NA 218 549 0 NA NA NA NA 470 664 0 NA NA NA NA 619 1383 877 NA NA NA NA 373 2538 892 NA NA NA
1498424400.0 1315.0 NA 186 540 0 NA NA NA NA 468 634 0 NA NA NA NA 395 592 772 NA NA NA NA 469 509 780 NA NA NA
1498424400.0 1316.0 NA 201 540 0 NA NA NA NA 468 651 0 NA NA NA NA 462 704 841 NA NA NA NA 365 591 851 NA NA NA
