Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498341600.0 1.0 72 81 137 NA NA 169 360 230 NA NA 2189 398 240 NA NA 990 172 224 NA NA
1498341600.0 10024.0 NA 184 538 88 0 NA 455 703 150 0 NA 642 2799 87 688 NA 361 2763 125 703
1498341600.0 10224.0 NA 293 674 0 NA NA 485 999 0 NA NA 2223 5226 614 NA NA 1634 3856 640 NA
1498341600.0 10225.0 NA 286 615 0 NA NA 495 997 0 NA NA 2275 5015 606 NA NA 1871 3854 620 NA
1498341600.0 103.0 38 0 0 NA NA 95 0 0 NA NA 357 145 262 NA NA 369 66 274 NA NA
1498341600.0 106.0 35 0 0 NA NA 96 0 0 NA NA 368 170 266 NA NA 351 77 274 NA NA
1498341600.0 107.0 79 95 371 NA NA 186 361 480 NA NA 3188 298 446 NA NA 1217 133 363 NA NA
1498341600.0 10826.0 74 186 539 88 0 144 443 698 150 0 9687 702 3179 87 723 3866 354 2585 312 742
1498341600.0 120.0 54 79 361 NA NA 124 361 479 NA NA 537 366 586 NA NA 453 216 617 NA NA
1498341600.0 122.0 51 86 358 NA NA 120 360 478 NA NA 987 305 548 NA NA 753 179 561 NA NA
1498341600.0 126.0 55 88 361 NA NA 129 361 466 NA NA 1431 420 614 NA NA 753 214 578 NA NA
1498341600.0 127.0 56 85 363 NA NA 127 361 477 NA NA 1287 432 529 NA NA 626 180 492 NA NA
1498341600.0 128.0 52 86 361 NA NA 114 360 480 NA NA 525 443 491 NA NA 429 206 469 NA NA
1498341600.0 129.0 50 85 361 NA NA 115 360 476 NA NA 496 377 450 NA NA 405 170 448 NA NA
1498341600.0 13.0 NA 95 367 0 NA NA 373 490 0 NA NA 297 1185 372 NA NA 184 772 385 NA
1498341600.0 130.0 53 82 361 NA NA 117 362 484 NA NA 628 442 494 NA NA 448 199 469 NA NA
1498341600.0 131.0 56 87 364 NA NA 129 370 465 NA NA 1504 440 589 NA NA 753 217 600 NA NA
1498341600.0 1325.1 NA 212 307 0 NA NA 478 405 0 NA NA 548 343 327 NA NA 503 474 337 NA
1498341600.0 1325.3 NA 209 296 0 NA NA 472 374 0 NA NA 625 333 302 NA NA 389 301 313 NA
1498341600.0 134.0 NA 382 37 0 NA NA 472 91 0 NA NA 1872 6 7 NA NA 806 9 9 NA
1498341600.0 134.813 NA 177 69 0 NA NA 277 129 0 NA NA 667 134 125 NA NA 518 218 158 NA
1498341600.0 135.11 375 0 114 NA NA 561 0 174 NA NA 855 157 164 NA NA 432 166 145 NA NA
1498341600.0 135.13 432 0 NA NA NA 684 0 NA NA NA 1040 421 NA NA NA 564 428 NA NA NA
1498341600.0 135.2 312 0 98 NA NA 560 0 166 NA NA 798 144 149 NA NA 498 163 355 NA NA
